# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020963917482e+01 
       1.319039970183e-05       6.270561467737e+01 
       1.660572937635e-05       7.831147247919e+01 
       2.090537469327e-05       9.780106758553e+01 
       2.631830744443e-05       1.221408203822e+02 
       3.313278603720e-05       1.525374501936e+02 
       4.171170630578e-05       1.904975994215e+02 
       5.251192703764e-05       2.379022223852e+02 
       6.610859936996e-05       2.970989227906e+02 
       8.322579568497e-05       3.710167325526e+02 
       1.047750691046e-04       4.633080766750e+02 
       1.319039970183e-04       5.785234139846e+02 
       1.660572937635e-04       7.223242666092e+02 
       2.090537469327e-04       9.017396271824e+02 
       2.631830744443e-04       1.125468123779e+03 
       3.313278603720e-04       1.404223053680e+03 
       4.171170630578e-04       1.751108028761e+03 
       5.251192703764e-04       2.181998448125e+03 
       6.610859936996e-04       2.715889983588e+03 
       8.322579568497e-04       3.375152337026e+03 
       1.047750691046e-03       4.185552174066e+03 
       1.319039970183e-03       5.175742743014e+03 
       1.660572937635e-03       6.376123049318e+03 
       2.090537469327e-03       7.815671857021e+03 
       2.631830744443e-03       9.517783046953e+03 
       3.313278603720e-03       1.149357454109e+04 
       4.171170630578e-03       1.373265973142e+04 
       5.251192703764e-03       1.619063569892e+04 
       6.610859936996e-03       1.877460307005e+04 
       8.322579568497e-03       2.132606562231e+04 
       1.047750691046e-02       2.360548104128e+04 
       1.319039970183e-02       2.528217318858e+04 
       1.660572937633e-02       2.595023179493e+04 
       2.090537453514e-02       2.520927025501e+04 
       2.631818545635e-02       2.287020586790e+04 
       3.311571692125e-02       1.928600507552e+04 
       4.113809243311e-02       1.568384187043e+04 
       4.792590854610e-02       1.361009611757e+04 
       5.284436902701e-02       1.259065413897e+04 
       5.689644391095e-02       1.195483688171e+04 
       6.051252627066e-02       1.147467370066e+04 
       6.388413457411e-02       1.105504363023e+04 
       6.711249296401e-02       1.064812130443e+04 
       7.025823437965e-02       1.022836332950e+04 
       7.336115587705e-02       9.783577653926e+03 
       7.644928796912e-02       9.310646376014e+03 
       7.954353299775e-02       8.813485350553e+03 
       8.266024078725e-02       8.301116866771e+03 
       8.581273398637e-02       7.785896037697e+03 
       8.901225918437e-02       7.282138735146e+03 
       9.226860540985e-02       6.804053266398e+03 
       9.559052048996e-02       6.364505716902e+03 
       9.898599946599e-02       5.973270112737e+03 
       1.024624891378e-01       5.636169296215e+03 
       1.060270359164e-01       5.354621566463e+03 
       1.096863943056e-01       5.125060748221e+03 
       1.134471073830e-01       4.939247175436e+03 
       1.173155669539e-01       4.784895664450e+03 
       1.212980586983e-01       4.646610746900e+03 
       1.254007961065e-01       4.507793310285e+03 
       1.296299459934e-01       4.353177080059e+03 
       1.339916477160e-01       4.171826088861e+03 
       1.384920277736e-01       3.959765758698e+03 
       1.431372111762e-01       3.721249761394e+03 
       1.479333307714e-01       3.468158743222e+03 
       1.528865355934e-01       3.216933485541e+03 
       1.580029992204e-01       2.984878619889e+03 
       1.632889290723e-01       2.785557457839e+03 
       1.687505775527e-01       2.625411316681e+03 
       1.743942559171e-01       2.502335369579e+03 
       1.802263517371e-01       2.405870182467e+03 
       1.862533508214e-01       2.320768196542e+03 
       1.924818644494e-01       2.230050486778e+03 
       1.989186627765e-01       2.120686678311e+03 
       2.055707152847e-01       1.990530928509e+03 
       2.124452391818e-01       1.848833929715e+03 
