# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927746157e-03 
       1.319039970183e-05       9.069258283730e-03 
       1.660572937635e-05       1.132639116896e-02 
       2.090537469327e-05       1.414527136090e-02 
       2.631830744443e-05       1.766569585013e-02 
       3.313278603720e-05       2.206225535715e-02 
       4.171170630578e-05       2.755297790873e-02 
       5.251192703764e-05       3.441013554074e-02 
       6.610859936996e-05       4.297372211340e-02 
       8.322579568497e-05       5.366826900935e-02 
       1.047750691046e-04       6.702379932842e-02 
       1.319039970183e-04       8.370193516384e-02 
       1.660572937635e-04       1.045283364715e-01 
       2.090537469327e-04       1.305329145698e-01 
       2.631830744443e-04       1.629994520893e-01 
       3.313278603720e-04       2.035264022385e-01 
       4.171170630578e-04       2.541004766083e-01 
       5.251192703764e-04       3.171839555109e-01 
       6.610859936996e-04       3.958147288090e-01 
       8.322579568497e-04       4.937136042935e-01 
       1.047750691046e-03       6.153841675446e-01 
       1.319039970183e-03       7.661720629063e-01 
       1.660572937635e-03       9.522588036817e-01 
       2.090537469327e-03       1.180312987309e+00 
       2.631830744443e-03       1.456802662260e+00 
       3.313278603720e-03       1.786503785410e+00 
       4.171170630578e-03       2.169896043168e+00 
       5.251192703764e-03       2.599430155506e+00 
       6.610859936996e-03       3.055667498006e+00 
       8.322579568497e-03       3.505722614442e+00 
       1.047750691046e-02       3.905482891796e+00 
       1.319039970183e-02       4.200898390309e+00 
       1.660572937633e-02       4.325025719157e+00 
       2.090537453514e-02       4.210124245723e+00 
       2.631818545635e-02       3.824988454846e+00 
       3.311571692125e-02       3.228757543060e+00 
       4.113809243311e-02       2.627216106475e+00 
       4.792590854610e-02       2.280092438958e+00 
       5.284436902701e-02       2.109248542771e+00 
       5.689644391095e-02       2.002582371575e+00 
       6.051252627066e-02       1.921997840583e+00 
       6.388413457411e-02       1.851582463407e+00 
       6.711249296401e-02       1.783328915506e+00 
       7.025823437965e-02       1.712966879254e+00 
       7.336115587705e-02       1.638433935997e+00 
       7.644928796912e-02       1.559217654442e+00 
       7.954353299775e-02       1.475954288088e+00 
       8.266024078725e-02       1.390135914973e+00 
       8.581273398637e-02       1.303846237596e+00 
       8.901225918437e-02       1.219456490874e+00 
       9.226860540985e-02       1.139359098001e+00 
       9.559052048996e-02       1.065675901307e+00 
       9.898599946599e-02       1.000062615459e+00 
       1.024624891378e-01       9.434842897687e-01 
       1.060270359164e-01       8.961810237728e-01 
       1.096863943056e-01       8.575662000345e-01 
       1.134471073830e-01       8.262779970855e-01 
       1.173155669539e-01       8.002547253068e-01 
       1.212980586983e-01       7.769309662772e-01 
       1.254007961065e-01       7.535371973116e-01 
       1.296299459934e-01       7.275264525301e-01 
       1.339916477160e-01       6.970721847034e-01 
       1.384920277736e-01       6.615031545209e-01 
       1.431372111762e-01       6.215330121768e-01 
       1.479333307714e-01       5.791167241099e-01 
