# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927682778e-03 
       1.319039970183e-05       9.069258204252e-03 
       1.660572937635e-05       1.132639107024e-02 
       2.090537469327e-05       1.414527123772e-02 
       2.631830744443e-05       1.766569584525e-02 
       3.313278603720e-05       2.206225516523e-02 
       4.171170630578e-05       2.755297766999e-02 
       5.251192703764e-05       3.441013523860e-02 
       6.610859936996e-05       4.297372173909e-02 
       8.322579568497e-05       5.366826854352e-02 
       1.047750691046e-04       6.702379874537e-02 
       1.319039970183e-04       8.370193443485e-02 
       1.660572937635e-04       1.045283355658e-01 
       2.090537469327e-04       1.305329134444e-01 
       2.631830744443e-04       1.629994507025e-01 
       3.313278603720e-04       2.035264005123e-01 
       4.171170630578e-04       2.541004744883e-01 
       5.251192703764e-04       3.171839529335e-01 
       6.610859936996e-04       3.958147257437e-01 
       8.322579568497e-04       4.937136007553e-01 
       1.047750691046e-03       6.153841637185e-01 
       1.319039970183e-03       7.661720593328e-01 
       1.660572937635e-03       9.522588016976e-01 
       2.090537469327e-03       1.180312991566e+00 
       2.631830744443e-03       1.456802684032e+00 
       3.313278603720e-03       1.786503852071e+00 
       4.171170630578e-03       2.169896151187e+00 
       5.251192703764e-03       2.599430617441e+00 
       6.610859936996e-03       3.055668670934e+00 
       8.322579568497e-03       3.505725517114e+00 
       1.047750691046e-02       3.905491786029e+00 
       1.319039970183e-02       4.200914886471e+00 
       1.660572937633e-02       4.325064675313e+00 
       2.090537453514e-02       4.210197108742e+00 
       2.631818545635e-02       3.825146713885e+00 
       3.311571692125e-02       3.229061909037e+00 
       4.113809243311e-02       2.627716773989e+00 
       4.792590854610e-02       2.280781059209e+00 
       5.284436902701e-02       2.110068115410e+00 
       5.689644391095e-02       2.003516358171e+00 
       6.051252627066e-02       1.923030153697e+00 
       6.388413457411e-02       1.852702467092e+00 
       6.711249296401e-02       1.784536941704e+00 
       7.025823437965e-02       1.714241977665e+00 
       7.336115587705e-02       1.639779926058e+00 
       7.644928796912e-02       1.560623939084e+00 
       7.954353299775e-02       1.477418279928e+00 
       8.266024078725e-02       1.391660032151e+00 
       8.581273398637e-02       1.305422023837e+00 
       8.901225918437e-02       1.221084570342e+00 
       9.226860540985e-02       1.141034844217e+00 
       9.559052048996e-02       1.067407774181e+00 
       9.898599946599e-02       1.001844968967e+00 
       1.024624891378e-01       9.453343336634e-01 
       1.060270359164e-01       8.981001935980e-01 
       1.096863943056e-01       8.595622300875e-01 
       1.134471073830e-01       8.283526375327e-01 
       1.173155669539e-01       8.024112793803e-01 
       1.212980586983e-01       7.791709564555e-01 
       1.254007961065e-01       7.558588468122e-01 
       1.296299459934e-01       7.299206220977e-01 
       1.339916477160e-01       6.995296276813e-01 
       1.384920277736e-01       6.640151937742e-01 
       1.431372111762e-01       6.240820682142e-01 
       1.479333307714e-01       5.816976725107e-01 
       1.528865355934e-01       5.396276504692e-01 
       1.580029992204e-01       5.007459913347e-01 
       1.632889290723e-01       4.673299556729e-01 
       1.687505775527e-01       4.404633539543e-01 
       1.743942559171e-01       4.197937802313e-01 
       1.802263517371e-01       4.035855029786e-01 
       1.862533508214e-01       3.892833365267e-01 
       1.924818644494e-01       3.740573849899e-01 
       1.989186627765e-01       3.557222246991e-01 
       2.055707152847e-01       3.339179016827e-01 
       2.124452391818e-01       3.101853272249e-01 
       2.195497567139e-01       2.870424852638e-01 
       2.268921624510e-01       2.667273082929e-01 
       2.344808017550e-01       2.504012767525e-01 
       2.423245618548e-01       2.377493508139e-01 
       2.504329772620e-01       2.270272206887e-01 
       2.588163516754e-01       2.160309011945e-01 
       2.674858990930e-01       2.034581332372e-01 
       2.764539076010e-01       1.895097481228e-01 
       2.857339303080e-01       1.756686730510e-01 
       2.953410092148e-01       1.636109307323e-01 
       3.052919395542e-01       1.538169112418e-01 
       3.156055844677e-01       1.454403440295e-01 
       3.263032530092e-01       1.371582442888e-01 
       3.374091587054e-01       1.282098728218e-01 
       3.489509817175e-01       1.190789767750e-01 
       3.609605657343e-01       1.107151388095e-01 
       3.734747921333e-01       1.035521195347e-01 
       3.865366902904e-01       9.704765303441e-02 
       4.001968667448e-01       9.052123607357e-02 
       4.145153713076e-01       8.394238696235e-02 
       4.295641718077e-01       7.779663962286e-02 
       4.454304922144e-01       7.224685698726e-02 
       4.622214006969e-01       6.699865802950e-02 
       4.800702491654e-01       6.179676467881e-02 
       4.991459272112e-01       5.683099768160e-02 
       5.196665217302e-01       5.222081440730e-02 
       5.419201087032e-01       4.773731231318e-02 
       5.662975451962e-01       4.339178940290e-02 
       5.933463737275e-01       3.923604813930e-02 
       6.238638458458e-01       3.515871284071e-02 
       6.590669257916e-01       3.116865290629e-02 
       7.009246080454e-01       2.719363076266e-02 
       7.528593308799e-01       2.318557478398e-02 
       8.213469537518e-01       1.905649691121e-02 
       9.196980813302e-01       1.472709979618e-02 
       1.075112183810e+00       1.026399872625e-02 
       1.322697471132e+00       6.297263756298e-03 
       1.662328205042e+00       3.629430597878e-03 
       2.092692408506e+00       2.054901106488e-03 
       2.634543445090e+00       1.145292769614e-03 
       3.316693691389e+00       6.262300084004e-04 
       4.175469971226e+00       3.339281660326e-04 
       5.256605252960e+00       1.719510670069e-04 
       6.617673932723e+00       8.415649234689e-05 
       8.331157880872e+00       3.814132843229e-05 
       1.048830636590e+01       1.531300903065e-05 
       1.320399541071e+01       5.012256732368e-06 
       1.662284535976e+01       1.105922709045e-06 
       2.092692243973e+01       7.863309225580e-08 
       2.634543445002e+01       1.832308305528e-08 
       3.316693691389e+01       7.129060571795e-08 
       4.175469971226e+01       4.495790777696e-08 
       5.256605252960e+01       7.932785633759e-09 
       6.617673932723e+01       4.149028454512e-13 
