# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811315e+01 
       1.319039970183e-05       6.270562594885e+01 
       1.660572937635e-05       7.831147247912e+01 
       2.090537469327e-05       9.780108069402e+01 
       2.631830744443e-05       1.221408203809e+02 
       3.313278603720e-05       1.525374501932e+02 
       4.171170630578e-05       1.904975994012e+02 
       5.251192703764e-05       2.379022224242e+02 
       6.610859936996e-05       2.970989227882e+02 
       8.322579568497e-05       3.710167318946e+02 
       1.047750691046e-04       4.633080766742e+02 
       1.319039970183e-04       5.785234129344e+02 
       1.660572937635e-04       7.223242666092e+02 
       2.090537469327e-04       9.017396271824e+02 
       2.631830744443e-04       1.125468123750e+03 
       3.313278603720e-04       1.404223053681e+03 
       4.171170630578e-04       1.751108028790e+03 
       5.251192703764e-04       2.181998448133e+03 
       6.610859936996e-04       2.715889983592e+03 
       8.322579568497e-04       3.375152337114e+03 
       1.047750691046e-03       4.185552174321e+03 
       1.319039970183e-03       5.175742739196e+03 
       1.660572937635e-03       6.376123051767e+03 
       2.090537469327e-03       7.815671865900e+03 
       2.631830744443e-03       9.517783068756e+03 
       3.313278603720e-03       1.149357460246e+04 
       4.171170630578e-03       1.373266003296e+04 
       5.251192703764e-03       1.619063613709e+04 
       6.610859936996e-03       1.877460413208e+04 
       8.322579568497e-03       2.132607228568e+04 
       1.047750691046e-02       2.360548897702e+04 
       1.319039970183e-02       2.528218631387e+04 
       1.660572937633e-02       2.595026781470e+04 
       2.090537453514e-02       2.520934220800e+04 
       2.631818545635e-02       2.287035603526e+04 
       3.311571692125e-02       1.928631068191e+04 
       4.113809243311e-02       1.568423127477e+04 
       4.792590854610e-02       1.361058449660e+04 
       5.284436902701e-02       1.259128419188e+04 
       5.689644391095e-02       1.195554294979e+04 
       6.051252627066e-02       1.147545897092e+04 
       6.388413457411e-02       1.105585866197e+04 
       6.711249296401e-02       1.064899320713e+04 
       7.025823437965e-02       1.022925129389e+04 
       7.336115587705e-02       9.784500429793e+03 
       7.644928796912e-02       9.311616272521e+03 
       7.954353299775e-02       8.814496809023e+03 
       8.266024078725e-02       8.302119330546e+03 
       8.581273398637e-02       7.786942019938e+03 
       8.901225918437e-02       7.283167292641e+03 
       9.226860540985e-02       6.805149557915e+03 
       9.559052048996e-02       6.365619343075e+03 
       9.898599946599e-02       5.974366237063e+03 
       1.024624891378e-01       5.637329028614e+03 
       1.060270359164e-01       5.355772322859e+03 
       1.096863943056e-01       5.126237397626e+03 
       1.134471073830e-01       4.940470595827e+03 
       1.173155669539e-01       4.786154549749e+03 
       1.212980586983e-01       4.647906401330e+03 
       1.254007961065e-01       4.509127296079e+03 
       1.296299459934e-01       4.354531126117e+03 
       1.339916477160e-01       4.173192215532e+03 
       1.384920277736e-01       3.961138010529e+03 
       1.431372111762e-01       3.722644356718e+03 
       1.479333307714e-01       3.469550133664e+03 
       1.528865355934e-01       3.218319448501e+03 
       1.580029992204e-01       2.986257748692e+03 
       1.632889290723e-01       2.786942526600e+03 
       1.687505775527e-01       2.626803160131e+03 
       1.743942559171e-01       2.503746139589e+03 
       1.802263517371e-01       2.407311583686e+03 
       1.862533508214e-01       2.322229298797e+03 
       1.924818644494e-01       2.231532839746e+03 
       1.989186627765e-01       2.122163298164e+03 
       2.055707152847e-01       1.992005318663e+03 
       2.124452391818e-01       1.850304001685e+03 
       2.195497567139e-01       1.712149295888e+03 
       2.268921624510e-01       1.590963228269e+03 
       2.344808017550e-01       1.493643978912e+03 
       2.423245618548e-01       1.418287671984e+03 
       2.504329772620e-01       1.354443770298e+03 
       2.588163516754e-01       1.288909360253e+03 
       2.674858990930e-01       1.213909982919e+03 
       2.764539076010e-01       1.130672019944e+03 
       2.857339303080e-01       1.048076583243e+03 
       2.953410092148e-01       9.761617665763e+02 
       3.052919395542e-01       9.177878842341e+02 
       3.156055844677e-01       8.678730915020e+02 
       3.263032530092e-01       8.185016454058e+02 
       3.374091587054e-01       7.651237525841e+02 
       3.489509817175e-01       7.106502758292e+02 
       3.609605657343e-01       6.607630572864e+02 
       3.734747921333e-01       6.180615182447e+02 
       3.865366902904e-01       5.792890769441e+02 
       4.001968667448e-01       5.403696794012e+02 
       4.145153713076e-01       5.011307765452e+02 
       4.295641718077e-01       4.644784065051e+02 
       4.454304922144e-01       4.313869594606e+02 
       4.622214006969e-01       4.000928898756e+02 
       4.800702491654e-01       3.690683053301e+02 
       4.991459272112e-01       3.394568299900e+02 
       5.196665217302e-01       3.119665162218e+02 
       5.419201087032e-01       2.852283610812e+02 
       5.662975451962e-01       2.593126599199e+02 
       5.933463737275e-01       2.345296064868e+02 
       6.238638458458e-01       2.102127625413e+02 
       6.590669257916e-01       1.864159658964e+02 
       7.009246080454e-01       1.627080142991e+02 
       7.528593308799e-01       1.388019812124e+02 
