# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020963912503e+01 
       1.319039970183e-05       6.270562530136e+01 
       1.660572937635e-05       7.831147247982e+01 
       2.090537469327e-05       9.780106765361e+01 
       2.631830744443e-05       1.221408204086e+02 
       3.313278603720e-05       1.525374501951e+02 
       4.171170630578e-05       1.904975994254e+02 
       5.251192703764e-05       2.379022223085e+02 
       6.610859936996e-05       2.970989228188e+02 
       8.322579568497e-05       3.710167325320e+02 
       1.047750691046e-04       4.633080766725e+02 
       1.319039970183e-04       5.785234138990e+02 
       1.660572937635e-04       7.223242666080e+02 
       2.090537469327e-04       9.017396271811e+02 
       2.631830744443e-04       1.125468123305e+03 
       3.313278603720e-04       1.404223053670e+03 
       4.171170630578e-04       1.751108028683e+03 
       5.251192703764e-04       2.181998448068e+03 
       6.610859936996e-04       2.715889983503e+03 
       8.322579568497e-04       3.375152336580e+03 
       1.047750691046e-03       4.185552172834e+03 
       1.319039970183e-03       5.175742735762e+03 
       1.660572937635e-03       6.376123038053e+03 
       2.090537469327e-03       7.815671822445e+03 
       2.631830744443e-03       9.517782941147e+03 
       3.313278603720e-03       1.149357423596e+04 
       4.171170630578e-03       1.373265933558e+04 
       5.251192703764e-03       1.619063174709e+04 
       6.610859936996e-03       1.877459770830e+04 
       8.322579568497e-03       2.132609205532e+04 
       1.047750691046e-02       2.360544480929e+04 
       1.319039970183e-02       2.528208719306e+04 
       1.660572937633e-02       2.595003256483e+04 
       2.090537453514e-02       2.520886446769e+04 
       2.631818545635e-02       2.286931437904e+04 
       3.311571692125e-02       1.928438553012e+04 
       4.113809243311e-02       1.568106837300e+04 
       4.792590854610e-02       1.360630991243e+04 
       5.284436902701e-02       1.258605007525e+04 
       5.689644391095e-02       1.194957437175e+04 
       6.051252627066e-02       1.146881141208e+04 
       6.388413457411e-02       1.104866470421e+04 
       6.711249296401e-02       1.064121274554e+04 
       7.025823437965e-02       1.022102381995e+04 
       7.336115587705e-02       9.775790401109e+03 
       7.644928796912e-02       9.302494681663e+03 
       7.954353299775e-02       8.804948825038e+03 
       8.266024078725e-02       8.292177146661e+03 
       8.581273398637e-02       7.776677786239e+03 
       8.901225918437e-02       7.272540154608e+03 
       9.226860540985e-02       6.794127281332e+03 
       9.559052048996e-02       6.354233771414e+03 
       9.898599946599e-02       5.962617579767e+03 
       1.024624891378e-01       5.625130001675e+03 
       1.060270359164e-01       5.343108213461e+03 
       1.096863943056e-01       5.113051528391e+03 
       1.134471073830e-01       4.926748749730e+03 
       1.173155669539e-01       4.771882077457e+03 
       1.212980586983e-01       4.633089493617e+03 
       1.254007961065e-01       4.493768454795e+03 
       1.296299459934e-01       4.338654068944e+03 
       1.339916477160e-01       4.156900797284e+03 
       1.384920277736e-01       3.944503007539e+03 
       1.431372111762e-01       3.705720654832e+03 
       1.479333307714e-01       3.452361534597e+03 
       1.528865355934e-01       3.200930773612e+03 
       1.580029992204e-01       2.968655336285e+03 
       1.632889290723e-01       2.769028508628e+03 
       1.687505775527e-01       2.608513195207e+03 
       1.743942559171e-01       2.484976045157e+03 
       1.802263517371e-01       2.388001695567e+03 
       1.862533508214e-01       2.302369874197e+03 
       1.924818644494e-01       2.211174541566e+03 
       1.989186627765e-01       2.101455820108e+03 
       2.055707152847e-01       1.971059470021e+03 
       2.124452391818e-01       1.829225231406e+03 
       2.195497567139e-01       1.690980320938e+03 
       2.268921624510e-01       1.569616127112e+03 
       2.344808017550e-01       1.472021069207e+03 
       2.423245618548e-01       1.396284582172e+03 
       2.504329772620e-01       1.332014225223e+03 
       2.588163516754e-01       1.266125983775e+03 
       2.674858990930e-01       1.190904298320e+03 
       2.764539076010e-01       1.107564387348e+03 
       2.857339303080e-01       1.024920547859e+03 
       2.953410092148e-01       9.528944398749e+02 
       3.052919395542e-01       8.943079467346e+02 
       3.156055844677e-01       8.441317940255e+02 
       3.263032530092e-01       7.945460658109e+02 
       3.374091587054e-01       7.410693342126e+02 
       3.489509817175e-01       6.865721428070e+02 
       3.609605657343e-01       6.366529445535e+02 
       3.734747921333e-01       5.938421229540e+02 
       3.865366902904e-01       5.549473594579e+02 
       4.001968667448e-01       5.159715098713e+02 
       4.145153713076e-01       4.767492248941e+02 
       4.295641718077e-01       4.401156707685e+02 
       4.454304922144e-01       4.070169989312e+02 
       4.622214006969e-01       3.757284409473e+02 
       4.800702491654e-01       3.447730375145e+02 
       4.991459272112e-01       3.152509314949e+02 
       5.196665217302e-01       2.878461288451e+02 
       5.419201087032e-01       2.612392179638e+02 
       5.662975451962e-01       2.354943041175e+02 
       5.933463737275e-01       2.109088451727e+02 
       6.238638458458e-01       1.868476960348e+02 
       6.590669257916e-01       1.633650755805e+02 
       7.009246080454e-01       1.400615828109e+02 
       7.528593308799e-01       1.166840738297e+02 
       8.213469537518e-01       9.278673314766e+01 
       9.196980813302e-01       6.804494836896e+01 
       1.075112183810e+00       4.314004511560e+01 
       1.322697471132e+00       2.208653306130e+01 
       1.662328205042e+00       9.327602063398e+00 
       2.092692408506e+00       3.163989310054e+00 
       2.634543445090e+00       7.148713029004e-01 
       3.316693691389e+00       5.024539861854e-02 
       4.175469971226e+00       1.376701080165e-02 
       5.256605252960e+00       5.196333502292e-02 
       6.617673932723e+00       3.371159769337e-02 
       8.331157880872e+00       6.357106297377e-03 
       1.048830636590e+01       1.099342055920e-07 
       1.320399541071e+01       4.338712074632e-04 
       1.662284535976e+01       5.780622609720e-05 
       2.092692243973e+01       4.262847013970e-06 
       2.634543445002e+01       7.533587166963e-07 
       3.316693691389e+01       5.983339267227e-08 
       4.175469971226e+01       1.230489924312e-09 
       5.256605252960e+01       2.092631607660e-11 
       6.617673932723e+01       1.145855759361e-11 
