# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 157.312 h/Mpc,
# number of wavenumbers equal to 257
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.541760469708e-01       5.292912367029e-01 
       1.593340535561e-01       4.916366521318e-01 
       1.646635702297e-01       4.598445865584e-01 
       1.701706958456e-01       4.346509053062e-01 
       1.758616357459e-01       4.153288689911e-01 
       1.817427160982e-01       3.998558152539e-01 
       1.878204015065e-01       3.855993153224e-01 
       1.941013164283e-01       3.697242018536e-01 
       2.005922709503e-01       3.504599032258e-01 
       2.073002914972e-01       3.279558794289e-01 
       2.142326570816e-01       3.041257834902e-01 
       2.213969417533e-01       2.815237662002e-01 
       2.288010639706e-01       2.621678282792e-01 
       2.364533437147e-01       2.468714562133e-01 
       2.443625682930e-01       2.349208880084e-01 
       2.525380679504e-01       2.243241509858e-01 
       2.609898026346e-01       2.129986450231e-01 
       2.697284615565e-01       2.000058173997e-01 
       2.787655775689e-01       1.859236420311e-01 
       2.881136588829e-01       1.724206776736e-01 
       2.977863412677e-01       1.609683474374e-01 
       3.077985646929e-01       1.516626682797e-01 
       3.181667794071e-01       1.434598665833e-01 
       3.289091877812e-01       1.350811827423e-01 
       3.400460299658e-01       1.260635312020e-01 
       3.515999236474e-01       1.171009286236e-01 
       3.635962711085e-01       1.090755777744e-01 
       3.760637506334e-01       1.022075027878e-01 
       3.890349143879e-01       9.583501472352e-02 
       4.025469216825e-01       8.940465820013e-02 
       4.166424456376e-01       8.300862127698e-02 
       4.313708035863e-01       7.711208829509e-02 
       4.467893782977e-01       7.179678909594e-02 
       4.629654199663e-01       6.676501221805e-02 
       4.799783501994e-01       6.181338268500e-02 
       4.979227319373e-01       5.711806107410e-02 
       5.169121270864e-01       5.279863335085e-02 
       5.370841404489e-01       4.866553507234e-02 
       5.586070464571e-01       4.468672167022e-02 
       5.816885094930e-01       4.094796115490e-02 
       6.065870144995e-01       3.738608855425e-02 
       6.336266468475e-01       3.397287346521e-02 
       6.632156059511e-01       3.073155608567e-02 
       6.958678639262e-01       2.762578071687e-02 
       7.322247985589e-01       2.466515794045e-02 
       7.730680195113e-01       2.183839813808e-02 
       8.193049553677e-01       1.915585280998e-02 
       8.718988016039e-01       1.663000380484e-02 
       9.317218031081e-01       1.428618924981e-02 
       9.993660908989e-01       1.215407629751e-02 
       1.075037110174e+00       1.025761632574e-02 
       1.158653485707e+00       8.606508646829e-03 
       1.250099157308e+00       7.193298949061e-03 
       1.349432401273e+00       5.996202223870e-03 
       1.456947457397e+00       4.988615094019e-03 
       1.573135111331e+00       4.143425831151e-03 
       1.698621895592e+00       3.435968942944e-03 
       1.834127512934e+00       2.844791633969e-03 
       1.980444934528e+00       2.351413140650e-03 
       2.138435191726e+00       1.940256148621e-03 
       2.309029199186e+00       1.598057160824e-03 
       2.493232377687e+00       1.313653617548e-03 
       2.692130395285e+00       1.077597043200e-03 
       2.906895534573e+00       8.819622459746e-04 
       3.138793597714e+00       7.200504807334e-04 
       3.389191366484e+00       5.862564461161e-04 
       3.659564657905e+00       4.758812974170e-04 
       3.951507022538e+00       3.849878845835e-04 
       4.266739136701e+00       3.102839210667e-04 
       4.607118943941e+00       2.490084391184e-04 
       4.974652605557e+00       1.988798708894e-04 
       5.371506324689e+00       1.579753504110e-04 
       5.800019113685e+00       1.247019320429e-04 
       6.262716579983e+00       9.773586940344e-05 
       6.762325811764e+00       7.597435618417e-05 
       7.301791451110e+00       5.849865747169e-05 
       7.884293049406e+00       4.454852383763e-05 
       8.513263807261e+00       3.349102642697e-05 
       9.192410809424e+00       2.480041513623e-05 
       9.925736873929e+00       1.803917838057e-05 
       1.071756414427e+01       1.284363727436e-05 
       1.157255956364e+01       8.911419371310e-06 
       1.249576238137e+01       5.990087567367e-06 
       1.349261385375e+01       3.869539312321e-06 
       1.456898931416e+01       2.375094218244e-06 
       1.573123280165e+01       1.361326732829e-06 
       1.698619445202e+01       7.081197013995e-07 
       1.834127087176e+01       3.170434921374e-07 
       1.980444873285e+01       1.083362112748e-07 
       2.138435184532e+01       1.890120905239e-08 
       2.309029198506e+01       2.084214328863e-10 
       2.493232377636e+01       1.669741387291e-08 
       2.692130395282e+01       4.403379198894e-08 
       2.906895534573e+01       6.742091699781e-08 
       3.138793597714e+01       7.976614906887e-08 
       3.389191366484e+01       7.972577226621e-08 
       3.659564657905e+01       6.962949257952e-08 
       3.951507022538e+01       5.375223406008e-08 
       4.266739136701e+01       3.652208457364e-08 
       4.607118943941e+01       2.143861724771e-08 
       4.974652605557e+01       1.043187817775e-08 
       5.371506324689e+01       3.841255194508e-09 
       5.800019113685e+01       8.253591459842e-10 
       6.262716579983e+01       1.655977614174e-11 
       6.762325811764e+01       1.336304304888e-10 
       7.301791451110e+01       3.562184936391e-10 
       7.884293049406e+01       3.816036428435e-10 
       8.513263807261e+01       2.510383328857e-10 
       9.192410809424e+01       1.043426439238e-10 
       9.925736873929e+01       2.226591411424e-11 
       1.071756414427e+02       5.233895490321e-13 
       1.157255956364e+02       1.646963769984e-12 
       1.249576238137e+02       2.545651579293e-12 
       1.349261385375e+02       9.301318419545e-13 
       1.456898931416e+02       3.280056899530e-14 
       1.573123280165e+02       6.846270046856e-14 
