# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811360e+01 
       1.319039970183e-05       6.270562595456e+01 
       1.660572937635e-05       7.831147247912e+01 
       2.090537469327e-05       9.780108069966e+01 
       2.631830744443e-05       1.221408203810e+02 
       3.313278603720e-05       1.525374501933e+02 
       4.171170630578e-05       1.904975994028e+02 
       5.251192703764e-05       2.379022224206e+02 
       6.610859936996e-05       2.970989227884e+02 
       8.322579568497e-05       3.710167318947e+02 
       1.047750691046e-04       4.633080766743e+02 
       1.319039970183e-04       5.785234129353e+02 
       1.660572937635e-04       7.223242666092e+02 
       2.090537469327e-04       9.017396271824e+02 
       2.631830744443e-04       1.125468123753e+03 
       3.313278603720e-04       1.404223053681e+03 
       4.171170630578e-04       1.751108028788e+03 
       5.251192703764e-04       2.181998448132e+03 
       6.610859936996e-04       2.715889983591e+03 
       8.322579568497e-04       3.375152337106e+03 
       1.047750691046e-03       4.185552174299e+03 
       1.319039970183e-03       5.175742738715e+03 
       1.660572937635e-03       6.376123051556e+03 
       2.090537469327e-03       7.815671866070e+03 
       2.631830744443e-03       9.517783066855e+03 
       3.313278603720e-03       1.149357459710e+04 
       4.171170630578e-03       1.373266001478e+04 
       5.251192703764e-03       1.619063609912e+04 
       6.610859936996e-03       1.877460414363e+04 
       8.322579568497e-03       2.132607205351e+04 
       1.047750691046e-02       2.360548521664e+04 
       1.319039970183e-02       2.528218709016e+04 
       1.660572937633e-02       2.595026661363e+04 
       2.090537453514e-02       2.520935109587e+04 
       2.631818545635e-02       2.287031900151e+04 
       3.311571692125e-02       1.928624973442e+04 
       4.113809243311e-02       1.568419404304e+04 
       4.792590854610e-02       1.361056293067e+04 
       5.284436902701e-02       1.259123805353e+04 
       5.689644391095e-02       1.195548333223e+04 
       6.051252627066e-02       1.147537651687e+04 
       6.388413457411e-02       1.105580537852e+04 
       6.711249296401e-02       1.064888106247e+04 
       7.025823437965e-02       1.022921343008e+04 
       7.336115587705e-02       9.784406140207e+03 
       7.644928796912e-02       9.311530890787e+03 
       7.954353299775e-02       8.814398529724e+03 
       8.266024078725e-02       8.302043726200e+03 
       8.581273398637e-02       7.786854860458e+03 
       8.901225918437e-02       7.283071917208e+03 
       9.226860540985e-02       6.805017740836e+03 
       9.559052048996e-02       6.365529336044e+03 
       9.898599946599e-02       5.974278261089e+03 
       1.024624891378e-01       5.637218874242e+03 
       1.060270359164e-01       5.355661723402e+03 
       1.096863943056e-01       5.126131888235e+03 
       1.134471073830e-01       4.940373234055e+03 
       1.173155669539e-01       4.786049146406e+03 
       1.212980586983e-01       4.647799144808e+03 
       1.254007961065e-01       4.509015686001e+03 
       1.296299459934e-01       4.354426387311e+03 
       1.339916477160e-01       4.173085883016e+03 
       1.384920277736e-01       3.961027800116e+03 
       1.431372111762e-01       3.722524010955e+03 
       1.479333307714e-01       3.469423028528e+03 
       1.528865355934e-01       3.218195511975e+03 
       1.580029992204e-01       2.986132826954e+03 
       1.632889290723e-01       2.786825913274e+03 
       1.687505775527e-01       2.626684978165e+03 
       1.743942559171e-01       2.503627668508e+03 
       1.802263517371e-01       2.407179660721e+03 
       1.862533508214e-01       2.322108452596e+03 
       1.924818644494e-01       2.231400205529e+03 
       1.989186627765e-01       2.122035365240e+03 
       2.055707152847e-01       1.991875710428e+03 
       2.124452391818e-01       1.850172525861e+03 
       2.195497567139e-01       1.712020679817e+03 
       2.268921624510e-01       1.590835167874e+03 
       2.344808017550e-01       1.493514631304e+03 
       2.423245618548e-01       1.418155449610e+03 
       2.504329772620e-01       1.354316114066e+03 
       2.588163516754e-01       1.288784629890e+03 
       2.674858990930e-01       1.213786522116e+03 
       2.764539076010e-01       1.130541453210e+03 
       2.857339303080e-01       1.047947386758e+03 
       2.953410092148e-01       9.760369818275e+02 
       3.052919395542e-01       9.176646920165e+02 
       3.156055844677e-01       8.677517845506e+02 
       3.263032530092e-01       8.183810917467e+02 
       3.374091587054e-01       7.650029182909e+02 
       3.489509817175e-01       7.105290170074e+02 
       3.609605657343e-01       6.606448008590e+02 
       3.734747921333e-01       6.179439885883e+02 
       3.865366902904e-01       5.791718975470e+02 
       4.001968667448e-01       5.402539099277e+02 
       4.145153713076e-01       5.010155020841e+02 
       4.295641718077e-01       4.643654110597e+02 
       4.454304922144e-01       4.312751818546e+02 
       4.622214006969e-01       3.999837833249e+02 
       4.800702491654e-01       3.689615130926e+02 
       4.991459272112e-01       3.393502583827e+02 
       5.196665217302e-01       3.118608352463e+02 
       5.419201087032e-01       2.851257920237e+02 
       5.662975451962e-01       2.592106753427e+02 
       5.933463737275e-01       2.344312015765e+02 
       6.238638458458e-01       2.101164890145e+02 
       6.590669257916e-01       1.863225993556e+02 
       7.009246080454e-01       1.626175863812e+02 
       7.528593308799e-01       1.387152691361e+02 
       8.213469537518e-01       1.140901366651e+02 
       9.196980813302e-01       8.826750768853e+01 
       1.075112183810e+00       6.164310002422e+01 
       1.322697471132e+00       3.797052092020e+01 
       1.662328205042e+00       2.203679148697e+01 
       2.092692408506e+00       1.261798940960e+01 
       2.634543445090e+00       7.160823823485e+00 
       3.316693691389e+00       4.030076787882e+00 
       4.175469971226e+00       2.249895172393e+00 
       5.256605252960e+00       1.245944803465e+00 
       6.617673932723e+00       6.841636046266e-01 
       8.331157880872e+00       3.721747817042e-01 
       1.048830636590e+01       2.002336140174e-01 
       1.320399541071e+01       1.062518417506e-01 
       1.662284535976e+01       5.536611890482e-02 
       2.092692243973e+01       2.814000205914e-02 
       2.634543445002e+01       1.380460602116e-02 
       3.316693691389e+01       6.431452285286e-03 
       4.175469971226e+01       2.773785505755e-03 
       5.256605252960e+01       1.061381484805e-03 
       6.617673932723e+01       3.334990315015e-04 
