# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811311e+01 
       1.319039970183e-05       6.270562594818e+01 
       1.660572937635e-05       7.831147247912e+01 
       2.090537469327e-05       9.780108069335e+01 
       2.631830744443e-05       1.221408203809e+02 
       3.313278603720e-05       1.525374501932e+02 
       4.171170630578e-05       1.904975994010e+02 
       5.251192703764e-05       2.379022224246e+02 
       6.610859936996e-05       2.970989227882e+02 
       8.322579568497e-05       3.710167318946e+02 
       1.047750691046e-04       4.633080766742e+02 
       1.319039970183e-04       5.785234129336e+02 
       1.660572937635e-04       7.223242666092e+02 
       2.090537469327e-04       9.017396271824e+02 
       2.631830744443e-04       1.125468123750e+03 
       3.313278603720e-04       1.404223053681e+03 
       4.171170630578e-04       1.751108028791e+03 
       5.251192703764e-04       2.181998448133e+03 
       6.610859936996e-04       2.715889983592e+03 
       8.322579568497e-04       3.375152337115e+03 
       1.047750691046e-03       4.185552174313e+03 
       1.319039970183e-03       5.175742742378e+03 
       1.660572937635e-03       6.376123051766e+03 
       2.090537469327e-03       7.815671876788e+03 
       2.631830744443e-03       9.517783068961e+03 
       3.313278603720e-03       1.149357460303e+04 
       4.171170630578e-03       1.373266001257e+04 
       5.251192703764e-03       1.619063612844e+04 
       6.610859936996e-03       1.877460421869e+04 
       8.322579568497e-03       2.132607241457e+04 
       1.047750691046e-02       2.360548630170e+04 
       1.319039970183e-02       2.528218762379e+04 
       1.660572937633e-02       2.595026474976e+04 
       2.090537453514e-02       2.520935779122e+04 
       2.631818545635e-02       2.287038138019e+04 
       3.311571692125e-02       1.928624386096e+04 
       4.113809243311e-02       1.568430064550e+04 
       4.792590854610e-02       1.361065836706e+04 
       5.284436902701e-02       1.259130037103e+04 
       5.689644391095e-02       1.195554625938e+04 
       6.051252627066e-02       1.147547949108e+04 
       6.388413457411e-02       1.105588903134e+04 
       6.711249296401e-02       1.064899462978e+04 
       7.025823437965e-02       1.022923941918e+04 
       7.336115587705e-02       9.784502623660e+03 
       7.644928796912e-02       9.311618469286e+03 
       7.954353299775e-02       8.814515208178e+03 
       8.266024078725e-02       8.302178235787e+03 
       8.581273398637e-02       7.786932532153e+03 
       8.901225918437e-02       7.283159515807e+03 
       9.226860540985e-02       6.805199464151e+03 
       9.559052048996e-02       6.365644382216e+03 
       9.898599946599e-02       5.974403019230e+03 
       1.024624891378e-01       5.637346435860e+03 
       1.060270359164e-01       5.355780438746e+03 
       1.096863943056e-01       5.126235844974e+03 
       1.134471073830e-01       4.940468167485e+03 
       1.173155669539e-01       4.786166041439e+03 
       1.212980586983e-01       4.647884946830e+03 
       1.254007961065e-01       4.509136640880e+03 
       1.296299459934e-01       4.354539791167e+03 
       1.339916477160e-01       4.173216630147e+03 
       1.384920277736e-01       3.961169015930e+03 
       1.431372111762e-01       3.722673229192e+03 
       1.479333307714e-01       3.469563648931e+03 
       1.528865355934e-01       3.218326976027e+03 
       1.580029992204e-01       2.986264654828e+03 
       1.632889290723e-01       2.786956343168e+03 
       1.687505775527e-01       2.626814470307e+03 
       1.743942559171e-01       2.503757162114e+03 
       1.802263517371e-01       2.407316470793e+03 
       1.862533508214e-01       2.322247070320e+03 
       1.924818644494e-01       2.231538577572e+03 
       1.989186627765e-01       2.122178226136e+03 
       2.055707152847e-01       1.992023923399e+03 
       2.124452391818e-01       1.850314393568e+03 
       2.195497567139e-01       1.712159483005e+03 
       2.268921624510e-01       1.590971437287e+03 
       2.344808017550e-01       1.493654266187e+03 
       2.423245618548e-01       1.418305588207e+03 
       2.504329772620e-01       1.354456617660e+03 
       2.588163516754e-01       1.288923817092e+03 
       2.674858990930e-01       1.213923802223e+03 
       2.764539076010e-01       1.130684518082e+03 
       2.857339303080e-01       1.048086985851e+03 
       2.953410092148e-01       9.761676742759e+02 
       3.052919395542e-01       9.177983688137e+02 
       3.156055844677e-01       8.678873772595e+02 
       3.263032530092e-01       8.185123379312e+02 
       3.374091587054e-01       7.651347502335e+02 
       3.489509817175e-01       7.106613609240e+02 
       3.609605657343e-01       6.607756891224e+02 
       3.734747921333e-01       6.180739757653e+02 
       3.865366902904e-01       5.792998476763e+02 
       4.001968667448e-01       5.403810033482e+02 
       4.145153713076e-01       5.011421231052e+02 
       4.295641718077e-01       4.644879717218e+02 
       4.454304922144e-01       4.313977852111e+02 
       4.622214006969e-01       4.001039713295e+02 
       4.800702491654e-01       3.690799323283e+02 
       4.991459272112e-01       3.394673217869e+02 
       5.196665217302e-01       3.119753630754e+02 
       5.419201087032e-01       2.852379488889e+02 
       5.662975451962e-01       2.593219278869e+02 
       5.933463737275e-01       2.345395280945e+02 
       6.238638458458e-01       2.102217717531e+02 
       6.590669257916e-01       1.864251320730e+02 
       7.009246080454e-01       1.627168507605e+02 
       7.528593308799e-01       1.388101889480e+02 
       8.213469537518e-01       1.141800222048e+02 
       9.196980813302e-01       8.835133844245e+01 
       1.075112183810e+00       6.171890211235e+01 
       1.322697471132e+00       3.803623701518e+01 
       1.662328205042e+00       2.209209447191e+01 
       2.092692408506e+00       1.266397542154e+01 
       2.634543445090e+00       7.198727182807e+00 
       3.316693691389e+00       4.061048151443e+00 
       4.175469971226e+00       2.275027318084e+00 
       5.256605252960e+00       1.266203061342e+00 
       6.617673932723e+00       7.003874409710e-01 
       8.331157880872e+00       3.850836733972e-01 
       1.048830636590e+01       2.104355274465e-01 
       1.320399541071e+01       1.142462160748e-01 
       1.662284535976e+01       6.156188340554e-02 
       2.092692243973e+01       3.286950597826e-02 
       2.634543445002e+01       1.733796828178e-02 
       3.316693691389e+01       8.992149746396e-03 
       4.175469971226e+01       4.550275886047e-03 
       5.256605252960e+01       2.219082572096e-03 
       6.617673932723e+01       1.022460443644e-03 
