# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811308e+01 
       1.319039970183e-05       6.270562594791e+01 
       1.660572937635e-05       7.831147247912e+01 
       2.090537469327e-05       9.780108069302e+01 
       2.631830744443e-05       1.221408203809e+02 
       3.313278603720e-05       1.525374501932e+02 
       4.171170630578e-05       1.904975994010e+02 
       5.251192703764e-05       2.379022224248e+02 
       6.610859936996e-05       2.970989227883e+02 
       8.322579568497e-05       3.710167318946e+02 
       1.047750691046e-04       4.633080766742e+02 
       1.319039970183e-04       5.785234129340e+02 
       1.660572937635e-04       7.223242666092e+02 
       2.090537469327e-04       9.017396271824e+02 
       2.631830744443e-04       1.125468123750e+03 
       3.313278603720e-04       1.404223053681e+03 
       4.171170630578e-04       1.751108028790e+03 
       5.251192703764e-04       2.181998448133e+03 
       6.610859936996e-04       2.715889983592e+03 
       8.322579568497e-04       3.375152337115e+03 
       1.047750691046e-03       4.185552174336e+03 
       1.319039970183e-03       5.175742743810e+03 
       1.660572937635e-03       6.376123051749e+03 
       2.090537469327e-03       7.815671913420e+03 
       2.631830744443e-03       9.517783069075e+03 
       3.313278603720e-03       1.149357460332e+04 
       4.171170630578e-03       1.373265999735e+04 
       5.251192703764e-03       1.619063614477e+04 
       6.610859936996e-03       1.877460415313e+04 
       8.322579568497e-03       2.132607231395e+04 
       1.047750691046e-02       2.360548497869e+04 
       1.319039970183e-02       2.528218771208e+04 
       1.660572937633e-02       2.595029127457e+04 
       2.090537453514e-02       2.520933715695e+04 
       2.631818545635e-02       2.287031936109e+04 
       3.311571692125e-02       1.928624643874e+04 
       4.113809243311e-02       1.568428326504e+04 
       4.792590854610e-02       1.361064753558e+04 
       5.284436902701e-02       1.259130585776e+04 
       5.689644391095e-02       1.195554975043e+04 
       6.051252627066e-02       1.147546414142e+04 
       6.388413457411e-02       1.105587622728e+04 
       6.711249296401e-02       1.064899781880e+04 
       7.025823437965e-02       1.022928970119e+04 
       7.336115587705e-02       9.784512096307e+03 
       7.644928796912e-02       9.311631785762e+03 
       7.954353299775e-02       8.814519763158e+03 
       8.266024078725e-02       8.302134132768e+03 
       8.581273398637e-02       7.786929192810e+03 
       8.901225918437e-02       7.283189024837e+03 
       9.226860540985e-02       6.805137991686e+03 
       9.559052048996e-02       6.365616165195e+03 
       9.898599946599e-02       5.974378130650e+03 
       1.024624891378e-01       5.637362774390e+03 
       1.060270359164e-01       5.355792668721e+03 
       1.096863943056e-01       5.126263629488e+03 
       1.134471073830e-01       4.940491856891e+03 
       1.173155669539e-01       4.786189195614e+03 
       1.212980586983e-01       4.647936013626e+03 
       1.254007961065e-01       4.509142590833e+03 
       1.296299459934e-01       4.354574349779e+03 
       1.339916477160e-01       4.173205719705e+03 
       1.384920277736e-01       3.961171027983e+03 
       1.431372111762e-01       3.722680099565e+03 
       1.479333307714e-01       3.469569773521e+03 
       1.528865355934e-01       3.218339248089e+03 
       1.580029992204e-01       2.986267791930e+03 
       1.632889290723e-01       2.786966591937e+03 
       1.687505775527e-01       2.626830041080e+03 
       1.743942559171e-01       2.503773423034e+03 
       1.802263517371e-01       2.407328687337e+03 
       1.862533508214e-01       2.322246333645e+03 
       1.924818644494e-01       2.231556909543e+03 
       1.989186627765e-01       2.122188888436e+03 
       2.055707152847e-01       1.992031704153e+03 
       2.124452391818e-01       1.850318984967e+03 
       2.195497567139e-01       1.712165143346e+03 
       2.268921624510e-01       1.590982255364e+03 
       2.344808017550e-01       1.493665380281e+03 
       2.423245618548e-01       1.418302191227e+03 
       2.504329772620e-01       1.354465234348e+03 
       2.588163516754e-01       1.288932000605e+03 
       2.674858990930e-01       1.213932836875e+03 
       2.764539076010e-01       1.130689556758e+03 
       2.857339303080e-01       1.048097708420e+03 
       2.953410092148e-01       9.761823203676e+02 
       3.052919395542e-01       9.178068827155e+02 
       3.156055844677e-01       8.678935458277e+02 
       3.263032530092e-01       8.185253529233e+02 
       3.374091587054e-01       7.651445718180e+02 
       3.489509817175e-01       7.106698714196e+02 
       3.609605657343e-01       6.607847945421e+02 
       3.734747921333e-01       6.180807901522e+02 
       3.865366902904e-01       5.793087416733e+02 
       4.001968667448e-01       5.403885193451e+02 
       4.145153713076e-01       5.011490147432e+02 
       4.295641718077e-01       4.644962856268e+02 
       4.454304922144e-01       4.314058033825e+02 
       4.622214006969e-01       4.001113109579e+02 
       4.800702491654e-01       3.690881241001e+02 
       4.991459272112e-01       3.394735791456e+02 
       5.196665217302e-01       3.119837926597e+02 
       5.419201087032e-01       2.852455193236e+02 
       5.662975451962e-01       2.593297985996e+02 
       5.933463737275e-01       2.345465194043e+02 
       6.238638458458e-01       2.102287400151e+02 
       6.590669257916e-01       1.864323147252e+02 
       7.009246080454e-01       1.627239840091e+02 
       7.528593308799e-01       1.388164852132e+02 
       8.213469537518e-01       1.141861965840e+02 
       9.196980813302e-01       8.835795826998e+01 
       1.075112183810e+00       6.172514689797e+01 
       1.322697471132e+00       3.804150618607e+01 
       1.662328205042e+00       2.209697970469e+01 
       2.092692408506e+00       1.266850748710e+01 
       2.634543445090e+00       7.202713370974e+00 
       3.316693691389e+00       4.064626805564e+00 
       4.175469971226e+00       2.278203487545e+00 
       5.256605252960e+00       1.269011414627e+00 
       6.617673932723e+00       7.028689594837e-01 
       8.331157880872e+00       3.872632085431e-01 
       1.048830636590e+01       2.123427835452e-01 
       1.320399541071e+01       1.159060774211e-01 
       1.662284535976e+01       6.299793444355e-02 
       2.092692243973e+01       3.410146361022e-02 
       2.634543445002e+01       1.838616456056e-02 
       3.316693691389e+01       9.873364092439e-03 
       4.175469971226e+01       5.279732967974e-03 
       5.256605252960e+01       2.810175472767e-03 
       6.617673932723e+01       1.487728880047e-03 
