# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811385e+01 
       1.319039970183e-05       6.270562595729e+01 
       1.660572937635e-05       7.831147247913e+01 
       2.090537469327e-05       9.780108070244e+01 
       2.631830744443e-05       1.221408203811e+02 
       3.313278603720e-05       1.525374501933e+02 
       4.171170630578e-05       1.904975994037e+02 
       5.251192703764e-05       2.379022224188e+02 
       6.610859936996e-05       2.970989227886e+02 
       8.322579568497e-05       3.710167318948e+02 
       1.047750691046e-04       4.633080766743e+02 
       1.319039970183e-04       5.785234129356e+02 
       1.660572937635e-04       7.223242666092e+02 
       2.090537469327e-04       9.017396271824e+02 
       2.631830744443e-04       1.125468123755e+03 
       3.313278603720e-04       1.404223053681e+03 
       4.171170630578e-04       1.751108028785e+03 
       5.251192703764e-04       2.181998448132e+03 
       6.610859936996e-04       2.715889983592e+03 
       8.322579568497e-04       3.375152337102e+03 
       1.047750691046e-03       4.185552174290e+03 
       1.319039970183e-03       5.175742742890e+03 
       1.660572937635e-03       6.376123051449e+03 
       2.090537469327e-03       7.815671914374e+03 
       2.631830744443e-03       9.517783065927e+03 
       3.313278603720e-03       1.149357459451e+04 
       4.171170630578e-03       1.373266000917e+04 
       5.251192703764e-03       1.619063608117e+04 
       6.610859936996e-03       1.877460390849e+04 
       8.322579568497e-03       2.132607193422e+04 
       1.047750691046e-02       2.360548398381e+04 
       1.319039970183e-02       2.528218483838e+04 
       1.660572937633e-02       2.595027044529e+04 
       2.090537453514e-02       2.520934052814e+04 
       2.631818545635e-02       2.287029549886e+04 
       3.311571692125e-02       1.928627525558e+04 
       4.113809243311e-02       1.568421936997e+04 
       4.792590854610e-02       1.361056087269e+04 
       5.284436902701e-02       1.259120916021e+04 
       5.689644391095e-02       1.195545788036e+04 
       6.051252627066e-02       1.147534743564e+04 
       6.388413457411e-02       1.105576179980e+04 
       6.711249296401e-02       1.064891685957e+04 
       7.025823437965e-02       1.022916988713e+04 
       7.336115587705e-02       9.784368507893e+03 
       7.644928796912e-02       9.311485730837e+03 
       7.954353299775e-02       8.814394467236e+03 
       8.266024078725e-02       8.301993067814e+03 
       8.581273398637e-02       7.786797480319e+03 
       8.901225918437e-02       7.283040259392e+03 
       9.226860540985e-02       6.804980152114e+03 
       9.559052048996e-02       6.365435580162e+03 
       9.898599946599e-02       5.974236111062e+03 
       1.024624891378e-01       5.637189508559e+03 
       1.060270359164e-01       5.355634616409e+03 
       1.096863943056e-01       5.126077138724e+03 
       1.134471073830e-01       4.940303366587e+03 
       1.173155669539e-01       4.785999853876e+03 
       1.212980586983e-01       4.647751941100e+03 
       1.254007961065e-01       4.508961688919e+03 
       1.296299459934e-01       4.354374209886e+03 
       1.339916477160e-01       4.173028600609e+03 
       1.384920277736e-01       3.960975602932e+03 
       1.431372111762e-01       3.722467613415e+03 
       1.479333307714e-01       3.469367102858e+03 
       1.528865355934e-01       3.218135221555e+03 
       1.580029992204e-01       2.986077938192e+03 
       1.632889290723e-01       2.786763396953e+03 
       1.687505775527e-01       2.626624372575e+03 
       1.743942559171e-01       2.503569324088e+03 
       1.802263517371e-01       2.407124291072e+03 
       1.862533508214e-01       2.322044627978e+03 
       1.924818644494e-01       2.231342941541e+03 
       1.989186627765e-01       2.121981396371e+03 
       2.055707152847e-01       1.991810138715e+03 
       2.124452391818e-01       1.850113887063e+03 
       2.195497567139e-01       1.711959339146e+03 
       2.268921624510e-01       1.590775591850e+03 
       2.344808017550e-01       1.493455173485e+03 
       2.423245618548e-01       1.418096778768e+03 
       2.504329772620e-01       1.354253352789e+03 
       2.588163516754e-01       1.288724775602e+03 
       2.674858990930e-01       1.213724201540e+03 
       2.764539076010e-01       1.130484071889e+03 
       2.857339303080e-01       1.047892171319e+03 
       2.953410092148e-01       9.759774552049e+02 
       3.052919395542e-01       9.176055954650e+02 
       3.156055844677e-01       8.676943445672e+02 
       3.263032530092e-01       8.183218077448e+02 
       3.374091587054e-01       7.649453527350e+02 
       3.489509817175e-01       7.104714688325e+02 
       3.609605657343e-01       6.605907752187e+02 
       3.734747921333e-01       6.178880867263e+02 
       3.865366902904e-01       5.791169123241e+02 
       4.001968667448e-01       5.401984773531e+02 
       4.145153713076e-01       5.009640750661e+02 
       4.295641718077e-01       4.643113804769e+02 
       4.454304922144e-01       4.312230325432e+02 
       4.622214006969e-01       3.999315410054e+02 
       4.800702491654e-01       3.689099052531e+02 
       4.991459272112e-01       3.392995590573e+02 
       5.196665217302e-01       3.118120796238e+02 
       5.419201087032e-01       2.850773513693e+02 
       5.662975451962e-01       2.591655723298e+02 
       5.933463737275e-01       2.343856974946e+02 
       6.238638458458e-01       2.100721045435e+02 
       6.590669257916e-01       1.862796406552e+02 
       7.009246080454e-01       1.625759383816e+02 
       7.528593308799e-01       1.386752160658e+02 
       8.213469537518e-01       1.140525867618e+02 
       9.196980813302e-01       8.823238300226e+01 
       1.075112183810e+00       6.161196138379e+01 
       1.322697471132e+00       3.794399091361e+01 
       1.662328205042e+00       2.201487628024e+01 
       2.092692408506e+00       1.260038144728e+01 
       2.634543445090e+00       7.146778024893e+00 
       3.316693691389e+00       4.019125814041e+00 
       4.175469971226e+00       2.241499296924e+00 
       5.256605252960e+00       1.239648758717e+00 
       6.617673932723e+00       6.795472455468e-01 
       8.331157880872e+00       3.688913721156e-01 
       1.048830636590e+01       1.979812066510e-01 
       1.320399541071e+01       1.047816187409e-01 
       1.662284535976e+01       5.447275702598e-02 
       2.092692243973e+01       2.765380452781e-02 
       2.634543445002e+01       1.358998034646e-02 
       3.316693691389e+01       6.381406338728e-03 
       4.175469971226e+01       2.807314808620e-03 
       5.256605252960e+01       1.121674552429e-03 
       6.617673932723e+01       3.864294046929e-04 
