# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927680899e-03 
       1.319039970183e-05       9.069258201895e-03 
       1.660572937635e-05       1.132639106731e-02 
       2.090537469327e-05       1.414527123406e-02 
       2.631830744443e-05       1.766569584067e-02 
       3.313278603720e-05       2.206225515954e-02 
       4.171170630578e-05       2.755297766291e-02 
       5.251192703764e-05       3.441013522965e-02 
       6.610859936996e-05       4.297372172799e-02 
       8.322579568497e-05       5.366826852971e-02 
       1.047750691046e-04       6.702379872808e-02 
       1.319039970183e-04       8.370193441328e-02 
       1.660572937635e-04       1.045283355389e-01 
       2.090537469327e-04       1.305329134110e-01 
       2.631830744443e-04       1.629994506613e-01 
       3.313278603720e-04       2.035264004611e-01 
       4.171170630578e-04       2.541004744255e-01 
       5.251192703764e-04       3.171839528572e-01 
       6.610859936996e-04       3.958147256531e-01 
       8.322579568497e-04       4.937136006528e-01 
       1.047750691046e-03       6.153841636068e-01 
       1.319039970183e-03       7.661720592710e-01 
       1.660572937635e-03       9.522588016452e-01 
       2.090537469327e-03       1.180312991698e+00 
       2.631830744443e-03       1.456802684675e+00 
       3.313278603720e-03       1.786503853999e+00 
       4.171170630578e-03       2.169896178576e+00 
       5.251192703764e-03       2.599430630489e+00 
       6.610859936996e-03       3.055668700654e+00 
       8.322579568497e-03       3.505725597138e+00 
       1.047750691046e-02       3.905490259681e+00 
       1.319039970183e-02       4.200915269901e+00 
       1.660572937633e-02       4.325056795746e+00 
       2.090537453514e-02       4.210196921217e+00 
       2.631818545635e-02       3.825151691375e+00 
       3.311571692125e-02       3.229058258576e+00 
       4.113809243311e-02       2.627729751383e+00 
       4.792590854610e-02       2.280791515336e+00 
       5.284436902701e-02       2.110084183590e+00 
       5.689644391095e-02       2.003537011402e+00 
       6.051252627066e-02       1.923053049807e+00 
       6.388413457411e-02       1.852735802016e+00 
       6.711249296401e-02       1.784565488827e+00 
       7.025823437965e-02       1.714273418164e+00 
       7.336115587705e-02       1.639813286470e+00 
       7.644928796912e-02       1.560662158130e+00 
       7.954353299775e-02       1.477456775782e+00 
       8.266024078725e-02       1.391696528447e+00 
       8.581273398637e-02       1.305461323911e+00 
       8.901225918437e-02       1.221126620861e+00 
       9.226860540985e-02       1.141074529094e+00 
       9.559052048996e-02       1.067455174630e+00 
       9.898599946599e-02       1.001888285253e+00 
       1.024624891378e-01       9.453842174863e-01 
       1.060270359164e-01       8.981505120858e-01 
       1.096863943056e-01       8.596129123278e-01 
       1.134471073830e-01       8.284063856352e-01 
       1.173155669539e-01       8.024667240919e-01 
       1.212980586983e-01       7.792292087493e-01 
       1.254007961065e-01       7.559175242534e-01 
       1.296299459934e-01       7.299823369997e-01 
       1.339916477160e-01       6.995921825649e-01 
       1.384920277736e-01       6.640785475108e-01 
       1.431372111762e-01       6.241460649017e-01 
       1.479333307714e-01       5.817628475156e-01 
       1.528865355934e-01       5.396898745699e-01 
       1.580029992204e-01       5.008123797045e-01 
       1.632889290723e-01       4.673980428842e-01 
       1.687505775527e-01       4.405340479849e-01 
       1.743942559171e-01       4.198655620452e-01 
       1.802263517371e-01       4.036590275370e-01 
       1.862533508214e-01       3.893599083001e-01 
       1.924818644494e-01       3.741343510649e-01 
       1.989186627765e-01       3.558019378282e-01 
       2.055707152847e-01       3.340000301416e-01 
       2.124452391818e-01       3.102648870048e-01 
       2.195497567139e-01       2.871221922365e-01 
       2.268921624510e-01       2.668074658882e-01 
       2.344808017550e-01       2.504827916147e-01 
       2.423245618548e-01       2.378331497566e-01 
       2.504329772620e-01       2.271116727364e-01 
       2.588163516754e-01       2.161167774480e-01 
       2.674858990930e-01       2.035445929780e-01 
       2.764539076010e-01       1.895966441058e-01 
       2.857339303080e-01       1.757564402987e-01 
       2.953410092148e-01       1.636990541092e-01 
       3.052919395542e-01       1.539056228805e-01 
       3.156055844677e-01       1.455303291982e-01 
       3.263032530092e-01       1.372493768967e-01 
       3.374091587054e-01       1.283012770128e-01 
       3.489509817175e-01       1.191704353989e-01 
       3.609605657343e-01       1.108067624006e-01 
       3.734747921333e-01       1.036447740811e-01 
       3.865366902904e-01       9.714089887107e-02 
       4.001968667448e-01       9.061533326897e-02 
       4.145153713076e-01       8.403652741076e-02 
       4.295641718077e-01       7.789062399177e-02 
       4.454304922144e-01       7.234130039179e-02 
       4.622214006969e-01       6.709294389546e-02 
       4.800702491654e-01       6.189141373422e-02 
       4.991459272112e-01       5.692584419545e-02 
       5.196665217302e-01       5.231564363528e-02 
       5.419201087032e-01       4.783215681811e-02 
       5.662975451962e-01       4.348633308643e-02 
       5.933463737275e-01       3.933060236438e-02 
       6.238638458458e-01       3.525290512249e-02 
       6.590669257916e-01       3.126251660431e-02 
       7.009246080454e-01       2.728682915012e-02 
       7.528593308799e-01       2.327799997278e-02 
       8.213469537518e-01       1.914782327928e-02 
       9.196980813302e-01       1.481663955876e-02 
       1.075112183810e+00       1.035052880628e-02 
       1.322697471132e+00       6.379128774046e-03 
       1.662328205042e+00       3.705383630589e-03 
       2.092692408506e+00       2.124308379733e-03 
       2.634543445090e+00       1.207773646159e-03 
       3.316693691389e+00       6.815575085365e-04 
       4.175469971226e+00       3.819981913381e-04 
       5.256605252960e+00       2.127746261437e-04 
       6.617673932723e+00       1.178431918177e-04 
       8.331157880872e+00       6.492454877373e-05 
       1.048830636590e+01       3.559622790381e-05 
       1.320399541071e+01       1.942794956695e-05 
       1.662284535976e+01       1.055800332029e-05 
       2.092692243973e+01       5.714277423288e-06 
       2.634543445002e+01       3.080317549726e-06 
       3.316693691389e+01       1.653834740011e-06 
       4.175469971226e+01       8.842653653736e-07 
       5.256605252960e+01       4.706798153112e-07 
       6.617673932723e+01       2.492636603024e-07 
