# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927686337e-03 
       1.319039970183e-05       9.069258208720e-03 
       1.660572937635e-05       1.132639107578e-02 
       2.090537469327e-05       1.414527124463e-02 
       2.631830744443e-05       1.766569585390e-02 
       3.313278603720e-05       2.206225517600e-02 
       4.171170630578e-05       2.755297768338e-02 
       5.251192703764e-05       3.441013525560e-02 
       6.610859936996e-05       4.297372176011e-02 
       8.322579568497e-05       5.366826856963e-02 
       1.047750691046e-04       6.702379877808e-02 
       1.319039970183e-04       8.370193447567e-02 
       1.660572937635e-04       1.045283356166e-01 
       2.090537469327e-04       1.305329135076e-01 
       2.631830744443e-04       1.629994507804e-01 
       3.313278603720e-04       2.035264006093e-01 
       4.171170630578e-04       2.541004746075e-01 
       5.251192703764e-04       3.171839530787e-01 
       6.610859936996e-04       3.958147259165e-01 
       8.322579568497e-04       4.937136009559e-01 
       1.047750691046e-03       6.153841639361e-01 
       1.319039970183e-03       7.661720595908e-01 
       1.660572937635e-03       9.522588018316e-01 
       2.090537469327e-03       1.180312991387e+00 
       2.631830744443e-03       1.456802683024e+00 
       3.313278603720e-03       1.786503849000e+00 
       4.171170630578e-03       2.169896167766e+00 
       5.251192703764e-03       2.599430597000e+00 
       6.610859936996e-03       3.055668626546e+00 
       8.322579568497e-03       3.505725394858e+00 
       1.047750691046e-02       3.905490245617e+00 
       1.319039970183e-02       4.200914297199e+00 
       1.660572937633e-02       4.325060825534e+00 
       2.090537453514e-02       4.210194888087e+00 
       2.631818545635e-02       3.825134800024e+00 
       3.311571692125e-02       3.229046863180e+00 
       4.113809243311e-02       2.627699718822e+00 
       4.792590854610e-02       2.280752323488e+00 
       5.284436902701e-02       2.110041753159e+00 
       5.689644391095e-02       2.003481515004e+00 
       6.051252627066e-02       1.922998193608e+00 
       6.388413457411e-02       1.852672905418e+00 
       6.711249296401e-02       1.784494773070e+00 
       7.025823437965e-02       1.714209644458e+00 
       7.336115587705e-02       1.639746169469e+00 
       7.644928796912e-02       1.560583946988e+00 
       7.954353299775e-02       1.477380104739e+00 
       8.266024078725e-02       1.391623073186e+00 
       8.581273398637e-02       1.305384413999e+00 
       8.901225918437e-02       1.221047689517e+00 
       9.226860540985e-02       1.140999855812e+00 
       9.559052048996e-02       1.067369963189e+00 
       9.898599946599e-02       1.001805888984e+00 
       1.024624891378e-01       9.452975096117e-01 
       1.060270359164e-01       8.980635715528e-01 
       1.096863943056e-01       8.595232069703e-01 
       1.134471073830e-01       8.283146429035e-01 
       1.173155669539e-01       8.023726522755e-01 
       1.212980586983e-01       7.791327115667e-01 
       1.254007961065e-01       7.558155655355e-01 
       1.296299459934e-01       7.298802805333e-01 
       1.339916477160e-01       6.994877618255e-01 
       1.384920277736e-01       6.639749860538e-01 
       1.431372111762e-01       6.240420585823e-01 
       1.479333307714e-01       5.816597107133e-01 
       1.528865355934e-01       5.395863425462e-01 
       1.580029992204e-01       5.007098617513e-01 
       1.632889290723e-01       4.672943329337e-01 
       1.687505775527e-01       4.404289604625e-01 
       1.743942559171e-01       4.197600271619e-01 
       1.802263517371e-01       4.035526094571e-01 
       1.862533508214e-01       3.892499817020e-01 
       1.924818644494e-01       3.740234743931e-01 
       1.989186627765e-01       3.556907382739e-01 
       2.055707152847e-01       3.338880777046e-01 
       2.124452391818e-01       3.101554685440e-01 
       2.195497567139e-01       2.870136901304e-01 
       2.268921624510e-01       2.666990267178e-01 
       2.344808017550e-01       2.503746525318e-01 
       2.423245618548e-01       2.377240951847e-01 
       2.504329772620e-01       2.270024230302e-01 
       2.588163516754e-01       2.160070200958e-01 
       2.674858990930e-01       2.034353536794e-01 
       2.764539076010e-01       1.894882588490e-01 
       2.857339303080e-01       1.756487980755e-01 
       2.953410092148e-01       1.635925428244e-01 
       3.052919395542e-01       1.537994524863e-01 
       3.156055844677e-01       1.454242698773e-01 
       3.263032530092e-01       1.371434889386e-01 
       3.374091587054e-01       1.281966011460e-01 
       3.489509817175e-01       1.190671524281e-01 
       3.609605657343e-01       1.107040188901e-01 
       3.734747921333e-01       1.035425139890e-01 
       3.865366902904e-01       9.703959645556e-02 
       4.001968667448e-01       9.051487873277e-02 
       4.145153713076e-01       8.393752664910e-02 
       4.295641718077e-01       7.779301670705e-02 
       4.454304922144e-01       7.224454469719e-02 
       4.622214006969e-01       6.699769547658e-02 
       4.800702491654e-01       6.179739971855e-02 
       4.991459272112e-01       5.683314611800e-02 
       5.196665217302e-01       5.222429823448e-02 
       5.419201087032e-01       4.774248084619e-02 
       5.662975451962e-01       4.339839040067e-02 
       5.933463737275e-01       3.924442757371e-02 
       6.238638458458e-01       3.516869638500e-02 
       6.590669257916e-01       3.118047871397e-02 
       7.009246080454e-01       2.720739117592e-02 
