# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927681106e-03 
       1.319039970183e-05       9.069258202155e-03 
       1.660572937635e-05       1.132639106763e-02 
       2.090537469327e-05       1.414527123447e-02 
       2.631830744443e-05       1.766569584118e-02 
       3.313278603720e-05       2.206225516016e-02 
       4.171170630578e-05       2.755297766369e-02 
       5.251192703764e-05       3.441013523064e-02 
       6.610859936996e-05       4.297372172922e-02 
       8.322579568497e-05       5.366826853124e-02 
       1.047750691046e-04       6.702379872999e-02 
       1.319039970183e-04       8.370193441566e-02 
       1.660572937635e-04       1.045283355419e-01 
       2.090537469327e-04       1.305329134147e-01 
       2.631830744443e-04       1.629994506659e-01 
       3.313278603720e-04       2.035264004668e-01 
       4.171170630578e-04       2.541004744324e-01 
       5.251192703764e-04       3.171839528657e-01 
       6.610859936996e-04       3.958147256631e-01 
       8.322579568497e-04       4.937136006635e-01 
       1.047750691046e-03       6.153841636187e-01 
       1.319039970183e-03       7.661720592964e-01 
       1.660572937635e-03       9.522588016535e-01 
       2.090537469327e-03       1.180312991683e+00 
       2.631830744443e-03       1.456802684603e+00 
       3.313278603720e-03       1.786503853793e+00 
       4.171170630578e-03       2.169896179292e+00 
       5.251192703764e-03       2.599430629142e+00 
       6.610859936996e-03       3.055668709624e+00 
       8.322579568497e-03       3.505725589345e+00 
       1.047750691046e-02       3.905490279279e+00 
       1.319039970183e-02       4.200915266792e+00 
       1.660572937633e-02       4.325064724114e+00 
       2.090537453514e-02       4.210201148255e+00 
       2.631818545635e-02       3.825150185200e+00 
       3.311571692125e-02       3.229062515763e+00 
       4.113809243311e-02       2.627721090071e+00 
       4.792590854610e-02       2.280785223034e+00 
       5.284436902701e-02       2.110087685737e+00 
       5.689644391095e-02       2.003539067054e+00 
       6.051252627066e-02       1.923055595012e+00 
       6.388413457411e-02       1.852727123017e+00 
       6.711249296401e-02       1.784561952226e+00 
       7.025823437965e-02       1.714270007599e+00 
       7.336115587705e-02       1.639811302207e+00 
       7.644928796912e-02       1.560657032829e+00 
       7.954353299775e-02       1.477455224134e+00 
       8.266024078725e-02       1.391692391882e+00 
       8.581273398637e-02       1.305459187051e+00 
       8.901225918437e-02       1.221123501505e+00 
       9.226860540985e-02       1.141071780216e+00 
       9.559052048996e-02       1.067453143479e+00 
       9.898599946599e-02       1.001884067568e+00 
       1.024624891378e-01       9.453765302581e-01 
       1.060270359164e-01       8.981452672867e-01 
       1.096863943056e-01       8.596100144879e-01 
       1.134471073830e-01       8.284008208824e-01 
       1.173155669539e-01       8.024614043551e-01 
       1.212980586983e-01       7.792220972411e-01 
       1.254007961065e-01       7.559118810463e-01 
       1.296299459934e-01       7.299766496453e-01 
       1.339916477160e-01       6.995864615562e-01 
       1.384920277736e-01       6.640726230931e-01 
       1.431372111762e-01       6.241419465949e-01 
       1.479333307714e-01       5.817577141301e-01 
       1.528865355934e-01       5.396851875064e-01 
       1.580029992204e-01       5.008076280617e-01 
       1.632889290723e-01       4.673919805806e-01 
       1.687505775527e-01       4.405276859336e-01 
       1.743942559171e-01       4.198592897568e-01 
       1.802263517371e-01       4.036537726166e-01 
       1.862533508214e-01       3.893534695722e-01 
       1.924818644494e-01       3.741286159691e-01 
       1.989186627765e-01       3.557949933830e-01 
       2.055707152847e-01       3.339933020093e-01 
       2.124452391818e-01       3.102585147468e-01 
       2.195497567139e-01       2.871161349871e-01 
       2.268921624510e-01       2.668007591132e-01 
       2.344808017550e-01       2.504764011768e-01 
       2.423245618548e-01       2.378262304453e-01 
       2.504329772620e-01       2.271048697882e-01 
       2.588163516754e-01       2.161099925444e-01 
       2.674858990930e-01       2.035375850325e-01 
       2.764539076010e-01       1.895899606420e-01 
       2.857339303080e-01       1.757492141686e-01 
       2.953410092148e-01       1.636923198645e-01 
       3.052919395542e-01       1.538988773580e-01 
       3.156055844677e-01       1.455234574917e-01 
       3.263032530092e-01       1.372420494260e-01 
       3.374091587054e-01       1.282943740926e-01 
       3.489509817175e-01       1.191635281693e-01 
       3.609605657343e-01       1.107995410606e-01 
       3.734747921333e-01       1.036372712193e-01 
       3.865366902904e-01       9.713346832886e-02 
       4.001968667448e-01       9.060760120483e-02 
       4.145153713076e-01       8.402939446516e-02 
       4.295641718077e-01       7.788348168280e-02 
       4.454304922144e-01       7.233374437886e-02 
       4.622214006969e-01       6.708598936768e-02 
       4.800702491654e-01       6.188406343483e-02 
       4.991459272112e-01       5.691849759174e-02 
       5.196665217302e-01       5.230819541491e-02 
       5.419201087032e-01       4.782477849589e-02 
       5.662975451962e-01       4.347900784736e-02 
       5.933463737275e-01       3.932316935532e-02 
       6.238638458458e-01       3.524563883452e-02 
       6.590669257916e-01       3.125521557054e-02 
       7.009246080454e-01       2.727964418916e-02 
       7.528593308799e-01       2.327086884762e-02 
       8.213469537518e-01       1.914079240159e-02 
       9.196980813302e-01       1.480972827954e-02 
       1.075112183810e+00       1.034385074838e-02 
       1.322697471132e+00       6.372763384646e-03 
       1.662328205042e+00       3.699432455491e-03 
       2.092692408506e+00       2.118801516381e-03 
       2.634543445090e+00       1.202726331316e-03 
       3.316693691389e+00       6.769802598141e-04 
       4.175469971226e+00       3.778778304434e-04 
       5.256605252960e+00       2.091023625165e-04 
       6.617673932723e+00       1.145994139887e-04 
       8.331157880872e+00       6.208904669010e-05 
       1.048830636590e+01       3.314627638975e-05 
       1.320399541071e+01       1.734069317601e-05 
       1.662284535976e+01       8.812500033296e-06 
       2.092692243973e+01       4.288600329388e-06 
       2.634543445002e+01       1.952710717175e-06 
       3.316693691389e+01       8.001007911709e-07 
       4.175469971226e+01       2.749833289201e-07 
       5.256605252960e+01       6.843905587856e-08 
       6.617673932723e+01       7.946173743630e-09 
