# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261928431179e-03 
       1.319039970183e-05       9.069259142676e-03 
       1.660572937635e-05       1.132639399864e-02 
       2.090537469327e-05       1.414527271765e-02 
       2.631830744443e-05       1.766569751515e-02 
       3.313278603720e-05       2.206225743205e-02 
       4.171170630578e-05       2.755298048627e-02 
       5.251192703764e-05       3.441013878074e-02 
       6.610859936996e-05       4.297372615945e-02 
       8.322579568497e-05       5.366827406046e-02 
       1.047750691046e-04       6.702380563088e-02 
       1.319039970183e-04       8.370194308342e-02 
       1.660572937635e-04       1.045283462621e-01 
       2.090537469327e-04       1.305329267340e-01 
       2.631830744443e-04       1.629994666652e-01 
       3.313278603720e-04       2.035264208960e-01 
       4.171170630578e-04       2.541004995647e-01 
       5.251192703764e-04       3.171839833350e-01 
       6.610859936996e-04       3.958147619422e-01 
       8.322579568497e-04       4.937136425168e-01 
       1.047750691046e-03       6.153842089077e-01 
       1.319039970183e-03       7.661721015378e-01 
       1.660572937635e-03       9.522588247752e-01 
       2.090537469327e-03       1.180312941325e+00 
       2.631830744443e-03       1.456802426940e+00 
       3.313278603720e-03       1.786503064876e+00 
       4.171170630578e-03       2.169894120171e+00 
       5.251192703764e-03       2.599425166292e+00 
       6.610859936996e-03       3.055654600741e+00 
       8.322579568497e-03       3.505690472156e+00 
       1.047750691046e-02       3.905408016511e+00 
       1.319039970183e-02       4.200721804582e+00 
       1.660572937633e-02       4.324629872857e+00 
       2.090537453514e-02       4.209273739261e+00 
       2.631818545635e-02       3.823290274741e+00 
       3.311571692125e-02       3.225600520978e+00 
       4.113809243311e-02       2.621957183930e+00 
       4.792590854610e-02       2.272897178837e+00 
       5.284436902701e-02       2.100601609815e+00 
       5.689644391095e-02       1.992749304964e+00 
       6.051252627066e-02       1.911139503145e+00 
       6.388413457411e-02       1.839799908509e+00 
       6.711249296401e-02       1.770719944066e+00 
       7.025823437965e-02       1.699603094018e+00 
       7.336115587705e-02       1.624386625675e+00 
       7.644928796912e-02       1.544544425421e+00 
       7.954353299775e-02       1.460708112208e+00 
       8.266024078725e-02       1.374356901149e+00 
       8.581273398637e-02       1.287562713995e+00 
       8.901225918437e-02       1.202679316178e+00 
       9.226860540985e-02       1.122082825651e+00 
       9.559052048996e-02       1.047883039089e+00 
       9.898599946599e-02       9.817055884401e-01 
       1.024624891378e-01       9.245304205718e-01 
       1.060270359164e-01       8.765645404815e-01 
       1.096863943056e-01       8.372311730889e-01 
       1.134471073830e-01       8.051706034496e-01 
       1.173155669539e-01       7.783466691611e-01 
       1.212980586983e-01       7.542291959462e-01 
       1.254007961065e-01       7.300846134119e-01 
       1.296299459934e-01       7.034075615311e-01 
       1.339916477160e-01       6.723991855545e-01 
       1.384920277736e-01       6.364093089637e-01 
       1.431372111762e-01       5.961339336869e-01 
       1.479333307714e-01       5.535076335755e-01 
       1.528865355934e-01       5.112314364107e-01 
       1.580029992204e-01       4.721151471094e-01 
       1.632889290723e-01       4.383607537271e-01 
       1.687505775527e-01       4.110158339011e-01 
       1.743942559171e-01       3.897253904330e-01 
       1.802263517371e-01       3.727917479377e-01 
       1.862533508214e-01       3.577711505745e-01 
       1.924818644494e-01       3.419394860944e-01 
       1.989186627765e-01       3.232142459199e-01 
       2.055707152847e-01       3.012566824790e-01 
       2.124452391818e-01       2.775375942300e-01 
       2.195497567139e-01       2.544579421395e-01 
       2.268921624510e-01       2.341233352619e-01 
       2.344808017550e-01       2.176119289378e-01 
       2.423245618548e-01       2.046156202708e-01 
       2.504329772620e-01       1.934999037882e-01 
       2.588163516754e-01       1.822291054197e-01 
       2.674858990930e-01       1.696076551452e-01 
       2.764539076010e-01       1.558235178596e-01 
       2.857339303080e-01       1.422339514042e-01 
       2.953410092148e-01       1.303438916378e-01 
       3.052919395542e-01       1.205747255019e-01 
       3.156055844677e-01       1.121625297250e-01 
       3.263032530092e-01       1.039385538140e-01 
       3.374091587054e-01       9.523995363539e-02 
       3.489509817175e-01       8.648869991546e-02 
       3.609605657343e-01       7.849543618245e-02 
       3.734747921333e-01       7.161887116549e-02 
       3.865366902904e-01       6.539995975074e-02 
       4.001968667448e-01       5.927326857692e-02 
       4.145153713076e-01       5.321566173272e-02 
       4.295641718077e-01       4.761378809385e-02 
       4.454304922144e-01       4.259186075627e-02 
       4.622214006969e-01       3.791813169944e-02 
       4.800702491654e-01       3.339868821683e-02 
       4.991459272112e-01       2.917414276989e-02 
       5.196665217302e-01       2.532963591903e-02 
       5.419201087032e-01       2.170511443063e-02 
       5.662975451962e-01       1.831079784979e-02 
       5.933463737275e-01       1.518646229742e-02 
       6.238638458458e-01       1.227023721592e-02 
       6.590669257916e-01       9.582536903698e-03 
       7.009246080454e-01       7.107845733950e-03 
       7.528593308799e-01       4.863782588590e-03 
       8.213469537518e-01       2.884673211217e-03 
       9.196980813302e-01       1.274243889892e-03 
       1.075112183810e+00       2.568384089919e-04 
       1.322697471132e+00       1.148054490530e-06 
       1.662328205042e+00       8.558563274925e-05 
       2.092692408506e+00       8.197752793228e-05 
       2.634543445090e+00       2.237932011720e-05 
       3.316693691389e+00       4.057166840173e-07 
       4.175469971226e+00       8.293403805245e-07 
       5.256605252960e+00       2.460851863978e-07 
       6.617673932723e+00       3.291102041423e-09 
       8.331157880872e+00       4.572270148182e-09 
       1.048830636590e+01       1.257577855304e-10 
       1.320399541071e+01       3.875129410286e-14 
       1.662284535976e+01       1.497537935818e-12 
       2.092692243973e+01       1.081493291334e-13 
       2.634543445002e+01       8.379378215628e-14 
       3.316693691389e+01       3.123731750649e-14 
       4.175469971226e+01       1.094111578442e-14 
       5.256605252960e+01       3.550326472742e-15 
       6.617673932723e+01       1.041370032461e-15 
