# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927681058e-03 
       1.319039970183e-05       9.069258202095e-03 
       1.660572937635e-05       1.132639106756e-02 
       2.090537469327e-05       1.414527123437e-02 
       2.631830744443e-05       1.766569584106e-02 
       3.313278603720e-05       2.206225516002e-02 
       4.171170630578e-05       2.755297766351e-02 
       5.251192703764e-05       3.441013523041e-02 
       6.610859936996e-05       4.297372172894e-02 
       8.322579568497e-05       5.366826853088e-02 
       1.047750691046e-04       6.702379872955e-02 
       1.319039970183e-04       8.370193441511e-02 
       1.660572937635e-04       1.045283355412e-01 
       2.090537469327e-04       1.305329134139e-01 
       2.631830744443e-04       1.629994506648e-01 
       3.313278603720e-04       2.035264004655e-01 
       4.171170630578e-04       2.541004744309e-01 
       5.251192703764e-04       3.171839528637e-01 
       6.610859936996e-04       3.958147256609e-01 
       8.322579568497e-04       4.937136006617e-01 
       1.047750691046e-03       6.153841636165e-01 
       1.319039970183e-03       7.661720592716e-01 
       1.660572937635e-03       9.522588016503e-01 
       2.090537469327e-03       1.180312991689e+00 
       2.631830744443e-03       1.456802684626e+00 
       3.313278603720e-03       1.786503853855e+00 
       4.171170630578e-03       2.169896179283e+00 
       5.251192703764e-03       2.599430629508e+00 
       6.610859936996e-03       3.055668704311e+00 
       8.322579568497e-03       3.505725147810e+00 
       1.047750691046e-02       3.905491045650e+00 
       1.319039970183e-02       4.200915322288e+00 
       1.660572937633e-02       4.325062715230e+00 
       2.090537453514e-02       4.210205483489e+00 
       2.631818545635e-02       3.825154552532e+00 
       3.311571692125e-02       3.229061882095e+00 
       4.113809243311e-02       2.627723260991e+00 
       4.792590854610e-02       2.280790362924e+00 
       5.284436902701e-02       2.110089818061e+00 
       5.689644391095e-02       2.003535008734e+00 
       6.051252627066e-02       1.923054591062e+00 
       6.388413457411e-02       1.852728780403e+00 
       6.711249296401e-02       1.784563564345e+00 
       7.025823437965e-02       1.714277733829e+00 
       7.336115587705e-02       1.639809144468e+00 
       7.644928796912e-02       1.560658157888e+00 
       7.954353299775e-02       1.477455904655e+00 
       8.266024078725e-02       1.391697121074e+00 
       8.581273398637e-02       1.305459336809e+00 
       8.901225918437e-02       1.221122704697e+00 
       9.226860540985e-02       1.141075180480e+00 
       9.559052048996e-02       1.067449324245e+00 
       9.898599946599e-02       1.001886959404e+00 
       1.024624891378e-01       9.453795381792e-01 
       1.060270359164e-01       8.981457728671e-01 
       1.096863943056e-01       8.596098559472e-01 
       1.134471073830e-01       8.284028158281e-01 
       1.173155669539e-01       8.024632853034e-01 
       1.212980586983e-01       7.792254515438e-01 
       1.254007961065e-01       7.559141783200e-01 
       1.296299459934e-01       7.299772204708e-01 
       1.339916477160e-01       6.995890484753e-01 
       1.384920277736e-01       6.640746917044e-01 
       1.431372111762e-01       6.241424150678e-01 
       1.479333307714e-01       5.817603505464e-01 
       1.528865355934e-01       5.396859596113e-01 
       1.580029992204e-01       5.008100071937e-01 
       1.632889290723e-01       4.673955450081e-01 
       1.687505775527e-01       4.405297686857e-01 
       1.743942559171e-01       4.198618260061e-01 
       1.802263517371e-01       4.036560108867e-01 
       1.862533508214e-01       3.893557510677e-01 
       1.924818644494e-01       3.741309624273e-01 
       1.989186627765e-01       3.557993367841e-01 
       2.055707152847e-01       3.339961091720e-01 
       2.124452391818e-01       3.102623455257e-01 
       2.195497567139e-01       2.871185718779e-01 
       2.268921624510e-01       2.668040900576e-01 
       2.344808017550e-01       2.504795548261e-01 
       2.423245618548e-01       2.378295335827e-01 
       2.504329772620e-01       2.271084988296e-01 
       2.588163516754e-01       2.161134570795e-01 
       2.674858990930e-01       2.035419446794e-01 
       2.764539076010e-01       1.895938863193e-01 
       2.857339303080e-01       1.757531548886e-01 
       2.953410092148e-01       1.636959843636e-01 
       3.052919395542e-01       1.539030142842e-01 
       3.156055844677e-01       1.455273255965e-01 
       3.263032530092e-01       1.372465498143e-01 
       3.374091587054e-01       1.282980963537e-01 
       3.489509817175e-01       1.191681094346e-01 
       3.609605657343e-01       1.108036925107e-01 
       3.734747921333e-01       1.036419296489e-01 
       3.865366902904e-01       9.713809400220e-02 
       4.001968667448e-01       9.061216755543e-02 
       4.145153713076e-01       8.403382086169e-02 
       4.295641718077e-01       7.788790516479e-02 
       4.454304922144e-01       7.233845272598e-02 
       4.622214006969e-01       6.709057126407e-02 
       4.800702491654e-01       6.188880675217e-02 
       4.991459272112e-01       5.692329208619e-02 
       5.196665217302e-01       5.231320245262e-02 
       5.419201087032e-01       4.782963343195e-02 
       5.662975451962e-01       4.348405389579e-02 
       5.933463737275e-01       3.932818633888e-02 
       6.238638458458e-01       3.525059561952e-02 
       6.590669257916e-01       3.126016235861e-02 
       7.009246080454e-01       2.728466484279e-02 
       7.528593308799e-01       2.327589944957e-02 
       8.213469537518e-01       1.914578248774e-02 
       9.196980813302e-01       1.481471856027e-02 
       1.075112183810e+00       1.034883214178e-02 
       1.322697471132e+00       6.377684799386e-03 
       1.662328205042e+00       3.704167259226e-03 
       2.092692408506e+00       2.123297672131e-03 
       2.634543445090e+00       1.206945870054e-03 
       3.316693691389e+00       6.808878462515e-04 
       4.175469971226e+00       3.814593349709e-04 
       5.256605252960e+00       2.123451630829e-04 
       6.617673932723e+00       1.175026467190e-04 
       8.331157880872e+00       6.465669471110e-05 
       1.048830636590e+01       3.538665477543e-05 
       1.320399541071e+01       1.926460715184e-05 
       1.662284535976e+01       1.043177232223e-05 
       2.092692243973e+01       5.617175795223e-06 
       2.634543445002e+01       3.006081929375e-06 
       3.316693691389e+01       1.597427282597e-06 
       4.175469971226e+01       8.417064971061e-07 
       5.256605252960e+01       4.388367418515e-07 
       6.617673932723e+01       2.256719281157e-07 
