# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811350e+01 
       1.319039970183e-05       6.270562595367e+01 
       1.660572937635e-05       7.831147247912e+01 
       2.090537469327e-05       9.780108069878e+01 
       2.631830744443e-05       1.221408203810e+02 
       3.313278603720e-05       1.525374501933e+02 
       4.171170630578e-05       1.904975994026e+02 
       5.251192703764e-05       2.379022224211e+02 
       6.610859936996e-05       2.970989227884e+02 
       8.322579568497e-05       3.710167318947e+02 
       1.047750691046e-04       4.633080766743e+02 
       1.319039970183e-04       5.785234129342e+02 
       1.660572937635e-04       7.223242666092e+02 
       2.090537469327e-04       9.017396271824e+02 
       2.631830744443e-04       1.125468123753e+03 
       3.313278603720e-04       1.404223053681e+03 
       4.171170630578e-04       1.751108028787e+03 
       5.251192703764e-04       2.181998448132e+03 
       6.610859936996e-04       2.715889983592e+03 
       8.322579568497e-04       3.375152337106e+03 
       1.047750691046e-03       4.185552174304e+03 
       1.319039970183e-03       5.175742742632e+03 
       1.660572937635e-03       6.376123051582e+03 
       2.090537469327e-03       7.815671912359e+03 
       2.631830744443e-03       9.517783067151e+03 
       3.313278603720e-03       1.149357459790e+04 
       4.171170630578e-03       1.373266001733e+04 
       5.251192703764e-03       1.619063610586e+04 
       6.610859936996e-03       1.877460414756e+04 
       8.322579568497e-03       2.132607208376e+04 
       1.047750691046e-02       2.360548417662e+04 
       1.319039970183e-02       2.528218634052e+04 
       1.660572937633e-02       2.595026026956e+04 
       2.090537453514e-02       2.520933680935e+04 
       2.631818545635e-02       2.287032638088e+04 
       3.311571692125e-02       1.928623521324e+04 
       4.113809243311e-02       1.568423502840e+04 
       4.792590854610e-02       1.361058485454e+04 
       5.284436902701e-02       1.259122111828e+04 
       5.689644391095e-02       1.195548151927e+04 
       6.051252627066e-02       1.147540808391e+04 
       6.388413457411e-02       1.105582091503e+04 
       6.711249296401e-02       1.064891941944e+04 
       7.025823437965e-02       1.022920338102e+04 
       7.336115587705e-02       9.784417726756e+03 
       7.644928796912e-02       9.311550363785e+03 
       7.954353299775e-02       8.814419080788e+03 
       8.266024078725e-02       8.302095957942e+03 
       8.581273398637e-02       7.786864578722e+03 
       8.901225918437e-02       7.283095905928e+03 
       9.226860540985e-02       6.805050799249e+03 
       9.559052048996e-02       6.365530081561e+03 
       9.898599946599e-02       5.974287983676e+03 
       1.024624891378e-01       5.637248988752e+03 
       1.060270359164e-01       5.355679690378e+03 
       1.096863943056e-01       5.126159971004e+03 
       1.134471073830e-01       4.940390372792e+03 
       1.173155669539e-01       4.786061713188e+03 
       1.212980586983e-01       4.647809575054e+03 
       1.254007961065e-01       4.509029892162e+03 
       1.296299459934e-01       4.354440057331e+03 
       1.339916477160e-01       4.173095639416e+03 
       1.384920277736e-01       3.961053382456e+03 
       1.431372111762e-01       3.722540377977e+03 
       1.479333307714e-01       3.469438378135e+03 
       1.528865355934e-01       3.218216843982e+03 
       1.580029992204e-01       2.986157814421e+03 
       1.632889290723e-01       2.786841002758e+03 
       1.687505775527e-01       2.626699725687e+03 
       1.743942559171e-01       2.503646787801e+03 
       1.802263517371e-01       2.407204036864e+03 
       1.862533508214e-01       2.322123481198e+03 
       1.924818644494e-01       2.231425205833e+03 
       1.989186627765e-01       2.122057194652e+03 
       2.055707152847e-01       1.991899314604e+03 
       2.124452391818e-01       1.850198190287e+03 
       2.195497567139e-01       1.712041518919e+03 
       2.268921624510e-01       1.590852988278e+03 
       2.344808017550e-01       1.493535942057e+03 
       2.423245618548e-01       1.418175039795e+03 
       2.504329772620e-01       1.354334380545e+03 
       2.588163516754e-01       1.288806819487e+03 
       2.674858990930e-01       1.213804111870e+03 
       2.764539076010e-01       1.130562762366e+03 
       2.857339303080e-01       1.047975140251e+03 
       2.953410092148e-01       9.760566479879e+02 
       3.052919395542e-01       9.176816459468e+02 
       3.156055844677e-01       8.677714549669e+02 
       3.263032530092e-01       8.184020395824e+02 
       3.374091587054e-01       7.650228556168e+02 
       3.489509817175e-01       7.105480728723e+02 
       3.609605657343e-01       6.606646418515e+02 
       3.734747921333e-01       6.179645645184e+02 
       3.865366902904e-01       5.791917879136e+02 
