# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 157.312 h/Mpc,
# number of wavenumbers equal to 257
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.541760469708e-01       5.087566942692e-01 
       1.593340535561e-01       4.708683953754e-01 
       1.646635702297e-01       4.387608525241e-01 
       1.701706958456e-01       4.131456933326e-01 
       1.758616357459e-01       3.933025482348e-01 
       1.817427160982e-01       3.772535423696e-01 
       1.878204015065e-01       3.624392797150e-01 
       1.941013164283e-01       3.461075620701e-01 
       2.005922709503e-01       3.265459328207e-01 
       2.073002914972e-01       3.039085677682e-01 
       2.142326570816e-01       2.800450791040e-01 
       2.213969417533e-01       2.574201672177e-01 
       2.288010639706e-01       2.379598276567e-01 
       2.364533437147e-01       2.224310836819e-01 
       2.443625682930e-01       2.101434557345e-01 
       2.525380679504e-01       1.992038750452e-01 
       2.609898026346e-01       1.876457450013e-01 
       2.697284615565e-01       1.745908311558e-01 
       2.787655775689e-01       1.605857296601e-01 
       2.881136588829e-01       1.471884287601e-01 
       2.977863412677e-01       1.357584812449e-01 
       3.077985646929e-01       1.263745158090e-01 
       3.181667794071e-01       1.180736711481e-01 
       3.289091877812e-01       1.096897560247e-01 
       3.400460299658e-01       1.008071616408e-01 
       3.515999236474e-01       9.205106609809e-02 
       3.635962711085e-01       8.420408860788e-02 
       3.760637506334e-01       7.745355300090e-02 
       3.890349143879e-01       7.121636744479e-02 
       4.025469216825e-01       6.501156533474e-02 
       4.166424456376e-01       5.891849141565e-02 
       4.313708035863e-01       5.332945215775e-02 
       4.467893782977e-01       4.830861061453e-02 
       4.629654199663e-01       4.360673472821e-02 
       4.799783501994e-01       3.905738218501e-02 
       4.979227319373e-01       3.480046118311e-02 
       5.169121270864e-01       3.092744278478e-02 
       5.370841404489e-01       2.729032294959e-02 
       5.586070464571e-01       2.386381265412e-02 
       5.816885094930e-01       2.071114510997e-02 
       6.065870144995e-01       1.778689513349e-02 
       6.336266468475e-01       1.507176644304e-02 
       6.632156059511e-01       1.258412973425e-02 
       6.958678639262e-01       1.030310540186e-02 
       7.322247985589e-01       8.239454891018e-03 
       7.730680195113e-01       6.392322901920e-03 
       8.193049553677e-01       4.774298499085e-03 
       8.718988016039e-01       3.397195711986e-03 
       9.317218031081e-01       2.273891013322e-03 
       9.993660908989e-01       1.408727745970e-03 
       1.075037110174e+00       7.891061441498e-04 
       1.158653485707e+00       3.838472562370e-04 
       1.250099157308e+00       1.486930456213e-04 
       1.349432401273e+00       3.553750278415e-05 
       1.456947457397e+00       8.152538205976e-07 
       1.573135111331e+00       9.094415226916e-06 
       1.698621895592e+00       3.432789384384e-05 
       1.834127512934e+00       5.942819783060e-05 
       1.980444934528e+00       7.515980497645e-05 
       2.138435191726e+00       7.856316979652e-05 
       2.309029199186e+00       7.105748736827e-05 
       2.493232377687e+00       5.650506224617e-05 
       2.692130395285e+00       3.947257139336e-05 
       2.906895534573e+00       2.380764021508e-05 
       3.138793597714e+00       1.191818300662e-05 
       3.389191366484e+00       4.516683069389e-06 
       3.659564657905e+00       9.906298791226e-07 
       3.951507022538e+00       1.557672852783e-08 
       4.266739136701e+00       2.111206718940e-07 
       4.607118943941e+00       5.897006718892e-07 
       4.974652605557e+00       7.090323294199e-07 
       5.371506324689e+00       5.545302180892e-07 
       5.800019113685e+00       3.009342002416e-07 
       6.262716579983e+00       1.044493872310e-07 
       6.762325811764e+00       1.530344811019e-08 
       7.301791451110e+00       2.766500909978e-10 
       7.884293049406e+00       7.763148606391e-09 
       8.513263807261e+00       1.017175925234e-08 
       9.192410809424e+00       5.893148662132e-09 
       9.925736873929e+00       1.595693559507e-09 
       1.071756414427e+01       7.701901650959e-11 
       1.157255956364e+01       6.747219841317e-11 
       1.249576238137e+01       1.341239719847e-10 
       1.349261385375e+01       5.225010514933e-11 
       1.456898931416e+01       2.533114913899e-12 
       1.573123280165e+01       2.848796907096e-12 
       1.698619445202e+01       4.775625817663e-12 
       1.834127087176e+01       1.665491591741e-12 
       1.980444873285e+01       1.853288670687e-13 
       2.138435184532e+01       1.754291333713e-14 
       2.309029198506e+01       3.619423649182e-14 
       2.493232377636e+01       7.500364888909e-14 
       2.692130395282e+01       5.799392459849e-14 
       2.906895534573e+01       3.172124510529e-14 
       3.138793597714e+01       1.746224721828e-14 
       3.389191366484e+01       1.678275867875e-14 
       3.659564657905e+01       5.787820087241e-15 
       3.951507022538e+01       2.965580554615e-15 
       4.266739136701e+01       2.101794193896e-15 
       4.607118943941e+01       1.053459266748e-15 
       4.974652605557e+01       4.388456133061e-16 
       5.371506324689e+01       1.843193072952e-16 
       5.800019113685e+01       8.864874345908e-17 
       6.262716579983e+01       5.801842299226e-17 
       6.762325811764e+01       7.332765673231e-19 
       7.301791451110e+01       5.833098682068e-16 
       7.884293049406e+01       1.574086437205e-18 
       8.513263807261e+01       1.441420669003e-19 
       9.192410809424e+01       3.174765962035e-17 
       9.925736873929e+01       2.208274363308e-17 
       1.071756414427e+02       1.182066384638e-18 
       1.157255956364e+02       1.313904050830e-19 
       1.249576238137e+02       9.436677945485e-19 
       1.349261385375e+02       1.472938023134e-20 
       1.456898931416e+02       1.361318376706e-20 
       1.573123280165e+02       1.138166125911e-18 
